folder_name,camera_x,camera_y,camera_z,height_label,azimuth_bin,azimuth_label,joint,n_frames,replace_rate,mean_err_before,mean_err_after
CapturedFrames_-1.0_0.5_-5.0,-1.0,0.5,-5.0,Y=0.5,4,S,RIGHT_KNEE,50,0.22,0.720586117573278,0.7188790226059133
CapturedFrames_-1.0_0.5_-5.0,-1.0,0.5,-5.0,Y=0.5,4,S,RIGHT_SHOULDER,50,0.12,0.6127792367462587,0.6073286495552227
CapturedFrames_-1.0_0.5_-5.0,-1.0,0.5,-5.0,Y=0.5,4,S,RIGHT_WRIST,50,0.2,0.7937436935386151,0.7805610708348404
CapturedFrames_-1.0_0.5_-6.0,-1.0,0.5,-6.0,Y=0.5,4,S,LEFT_ANKLE,28,0.17857142857142858,0.32238337747174545,0.3155472818682357
CapturedFrames_-1.0_0.5_-6.0,-1.0,0.5,-6.0,Y=0.5,4,S,LEFT_ELBOW,28,0.21428571428571427,0.44711238976239864,0.44576192727697933
CapturedFrames_-1.0_0.5_-6.0,-1.0,0.5,-6.0,Y=0.5,4,S,LEFT_HIP,28,0.21428571428571427,,
CapturedFrames_-1.0_0.5_-6.0,-1.0,0.5,-6.0,Y=0.5,4,S,LEFT_KNEE,28,0.17857142857142858,0.2768766367496646,0.27642017368302946
CapturedFrames_-1.0_0.5_-6.0,-1.0,0.5,-6.0,Y=0.5,4,S,LEFT_SHOULDER,28,0.17857142857142858,0.40863993252061587,0.4070918053488058
CapturedFrames_-1.0_0.5_-6.0,-1.0,0.5,-6.0,Y=0.5,4,S,LEFT_WRIST,28,0.21428571428571427,0.5554166204389988,0.5542926337784967
CapturedFrames_-1.0_0.5_-6.0,-1.0,0.5,-6.0,Y=0.5,4,S,RIGHT_ANKLE,28,0.21428571428571427,0.5093021013561838,0.493222916902058
CapturedFrames_-1.0_0.5_-6.0,-1.0,0.5,-6.0,Y=0.5,4,S,RIGHT_ELBOW,28,0.14285714285714285,0.32892295890603307,0.3271006334331054
CapturedFrames_-1.0_0.5_-6.0,-1.0,0.5,-6.0,Y=0.5,4,S,RIGHT_HIP,28,0.21428571428571427,,
CapturedFrames_-1.0_0.5_-6.0,-1.0,0.5,-6.0,Y=0.5,4,S,RIGHT_KNEE,28,0.10714285714285714,0.4489266456444537,0.44882677231444024
CapturedFrames_-1.0_0.5_-6.0,-1.0,0.5,-6.0,Y=0.5,4,S,RIGHT_SHOULDER,28,0.14285714285714285,0.36727714108633214,0.36709435405491014
CapturedFrames_-1.0_0.5_-6.0,-1.0,0.5,-6.0,Y=0.5,4,S,RIGHT_WRIST,28,0.10714285714285714,0.3882207684044467,0.3853260590614937
CapturedFrames_-1.0_0.5_3.0,-1.0,0.5,3.0,Y=0.5,0,N,LEFT_ANKLE,51,0.13725490196078433,0.7596955070108729,0.73322510443205
CapturedFrames_-1.0_0.5_3.0,-1.0,0.5,3.0,Y=0.5,0,N,LEFT_ELBOW,51,0.27450980392156865,1.0313337602483876,1.0041329109118629
CapturedFrames_-1.0_0.5_3.0,-1.0,0.5,3.0,Y=0.5,0,N,LEFT_HIP,51,0.1568627450980392,,
CapturedFrames_-1.0_0.5_3.0,-1.0,0.5,3.0,Y=0.5,0,N,LEFT_KNEE,51,0.13725490196078433,0.7601175238318556,0.7442818913495639
CapturedFrames_-1.0_0.5_3.0,-1.0,0.5,3.0,Y=0.5,0,N,LEFT_SHOULDER,51,0.1568627450980392,0.9172474734564678,0.8920222160106428
CapturedFrames_-1.0_0.5_3.0,-1.0,0.5,3.0,Y=0.5,0,N,LEFT_WRIST,51,0.21568627450980393,1.157975562950496,1.1247468275551238
CapturedFrames_-1.0_0.5_3.0,-1.0,0.5,3.0,Y=0.5,0,N,RIGHT_ANKLE,51,0.19607843137254902,1.0534502894101012,1.0134130844613805
CapturedFrames_-1.0_0.5_3.0,-1.0,0.5,3.0,Y=0.5,0,N,RIGHT_ELBOW,51,0.09803921568627451,0.7837488272602062,0.7776325435966247
CapturedFrames_-1.0_0.5_3.0,-1.0,0.5,3.0,Y=0.5,0,N,RIGHT_HIP,51,0.17647058823529413,,
CapturedFrames_-1.0_0.5_3.0,-1.0,0.5,3.0,Y=0.5,0,N,RIGHT_KNEE,51,0.17647058823529413,0.7125706295071537,0.699102681840777
CapturedFrames_-1.0_0.5_3.0,-1.0,0.5,3.0,Y=0.5,0,N,RIGHT_SHOULDER,51,0.1568627450980392,0.7908040478543326,0.7827459673025141
CapturedFrames_-1.0_0.5_3.0,-1.0,0.5,3.0,Y=0.5,0,N,RIGHT_WRIST,51,0.29411764705882354,0.7655616467183312,0.749699171036352
CapturedFrames_-1.0_0.5_4.0,-1.0,0.5,4.0,Y=0.5,0,N,LEFT_ANKLE,52,0.11538461538461539,0.8520504734998281,0.8288049202047962
CapturedFrames_-1.0_0.5_4.0,-1.0,0.5,4.0,Y=0.5,0,N,LEFT_ELBOW,52,0.19230769230769232,0.9909912716973565,0.9933656738644098
CapturedFrames_-1.0_0.5_4.0,-1.0,0.5,4.0,Y=0.5,0,N,LEFT_HIP,52,0.25,,
CapturedFrames_-1.0_0.5_4.0,-1.0,0.5,4.0,Y=0.5,0,N,LEFT_KNEE,52,0.09615384615384616,0.8386167634426559,0.8237985147796567
CapturedFrames_-1.0_0.5_4.0,-1.0,0.5,4.0,Y=0.5,0,N,LEFT_SHOULDER,52,0.2692307692307692,0.8940354290689991,0.8946999602427673
