folder_name,camera_x,camera_y,camera_z,height_label,azimuth_bin,azimuth_label,n_frames,scale_m_per_px,torso_px_median,torso_m_prior,D_x,D_y,D_z,replace_rate,align_mirrored,align_hip_rmse_m,window,k_sigma
CapturedFrames_-1.0_0.5_-3.0,-1.0,0.5,-3.0,Y=0.5,4,S,67,0.004390132133466033,119.11485784627618,0.5229299650041757,-0.9221793030700476,0.36390226309995904,-0.13099799960293138,0.0708955223880597,True,0.759317720628198,7,5.0
CapturedFrames_-1.0_0.5_-4.0,-1.0,0.5,-4.0,Y=0.5,4,S,57,0.003886614931458854,134.54644425310553,0.5229302192088163,-0.9959199191520465,-0.026510858482554283,-0.08625942857855769,0.07163742690058479,False,0.6466007000445828,7,5.0
CapturedFrames_-1.0_0.5_-5.0,-1.0,0.5,-5.0,Y=0.5,4,S,50,0.004678817632090261,111.76548210219286,0.5229303083188085,-0.9140455956945935,-0.31415938989143927,0.2565629098960996,0.085,True,0.6042993983411159,7,5.0
CapturedFrames_-1.0_0.5_-6.0,-1.0,0.5,-6.0,Y=0.5,4,S,28,0.004824394447614432,108.39303716116709,0.5229307666403993,-0.9111237134169295,-0.34926553008799077,-0.21878566758748086,0.07142857142857142,False,0.34941785302913525,7,5.0
CapturedFrames_-1.0_0.5_3.0,-1.0,0.5,3.0,Y=0.5,0,N,51,0.0038085374580096912,137.3046346151069,0.5229298440899687,-0.9634010203002686,-0.26006422478279323,0.06500056209392441,0.06699346405228758,True,0.7318401973863367,7,5.0
CapturedFrames_-1.0_0.5_4.0,-1.0,0.5,4.0,Y=0.5,0,N,52,0.003446581446064676,151.7243282958036,0.5229302548209424,-0.7323467730781836,0.3423899445784179,-0.5885892708957234,0.10737179487179487,True,0.7592196392611662,7,5.0
CapturedFrames_-1.0_0.5_5.0,-1.0,0.5,5.0,Y=0.5,0,N,39,0.0041769341658111515,125.19469428785777,0.5229299959492353,-0.7770868299817241,0.3980212529719317,-0.48756039713209753,0.07478632478632478,False,0.5719158232030301,7,5.0
CapturedFrames_-1.0_0.5_6.0,-1.0,0.5,6.0,Y=0.5,0,N,14,0.0048815496441734964,107.12379374013504,0.5229301172146712,-0.5219988424670742,0.43201233620277657,-0.7354471767786276,0.08928571428571429,True,0.2054541538051812,7,5.0
CapturedFrames_-2.0_0.5_-3.0,-2.0,0.5,-3.0,Y=0.5,5,SW,65,0.003551350539406573,147.24823387316764,0.522930094792139,-0.9939379969745256,-0.00868146825000445,0.10959876951541148,0.09358974358974359,True,0.5331409433787083,7,5.0
CapturedFrames_-2.0_0.5_-4.0,-2.0,0.5,-4.0,Y=0.5,5,SW,51,0.003690396420655241,141.70038759822273,0.5229306031979415,-0.9879081440847726,-0.15504009424065518,-0.00026082336749833995,0.10130718954248366,False,0.46781591843352066,7,5.0
CapturedFrames_-2.0_0.5_-5.0,-2.0,0.5,-5.0,Y=0.5,4,S,46,0.004705533377390771,111.13091421731747,0.5229302261095379,-0.9840175885412624,-0.17802966722992375,-0.0038500684982771646,0.08876811594202899,True,0.36685598614490966,7,5.0
CapturedFrames_-2.0_0.5_-6.0,-2.0,0.5,-6.0,Y=0.5,4,S,26,0.004257349320447335,122.83004045051962,0.5229303892425383,-0.9798729790692872,-0.19498574105999722,-0.04277272113349657,0.10256410256410256,False,0.29394853082357136,7,5.0
CapturedFrames_-2.0_0.5_3.0,-2.0,0.5,3.0,Y=0.5,7,NW,63,0.0033763903713933804,154.8783031955805,0.5229296116473026,-0.9968238664629242,0.0034605572896348837,0.0795625778438044,0.0873015873015873,False,0.5589204677862218,7,5.0
CapturedFrames_-2.0_0.5_4.0,-2.0,0.5,4.0,Y=0.5,7,NW,49,0.0033668964343045423,155.3151888934042,0.5229301556785391,-0.9891291839818301,0.14179506378047424,-0.03895660769278967,0.08503401360544217,False,0.5274924652142919,7,5.0
CapturedFrames_-2.0_0.5_5.0,-2.0,0.5,5.0,Y=0.5,0,N,29,0.004075321812885524,128.31626071625752,0.5229300562448702,-0.9810332233809874,0.19126338586286962,-0.031498124562913656,0.07471264367816093,True,0.3206413619143366,7,5.0
CapturedFrames_-2.0_0.5_6.0,-2.0,0.5,6.0,Y=0.5,0,N,14,0.004961965108707044,105.3877116709067,0.5229301481975172,-0.7226051215370742,0.1082979948680297,-0.6827249685165722,0.08333333333333333,True,0.17434450054240397,7,5.0
CapturedFrames_-3.0_0.5_-1.0,-3.0,0.5,-1.0,Y=0.5,6,W,82,0.002891808458788134,180.8314916097707,0.5229300370524104,-0.9967607025342705,-0.04759776846869296,0.0648271109967747,0.08028455284552846,False,0.5766297272059072,7,5.0
CapturedFrames_-3.0_0.5_-2.0,-3.0,0.5,-2.0,Y=0.5,5,SW,86,0.0036408131513426755,143.63022003623257,0.5229307940381578,-0.9953975137298836,-0.08390454109321023,0.04630137842768974,0.08527131782945736,False,0.6215290948037455,7,5.0
CapturedFrames_-3.0_0.5_-3.0,-3.0,0.5,-3.0,Y=0.5,5,SW,67,0.003365592612415987,155.37546415985364,0.5229305143271084,-0.9970081900170028,-0.0724931469848476,0.026821869421302137,0.08333333333333333,False,0.5541108120760502,7,5.0
CapturedFrames_-3.0_0.5_-4.0,-3.0,0.5,-4.0,Y=0.5,5,SW,54,0.0038808430141835026,134.7465455364566,0.5229301899305169,-0.9917934833311934,-0.1278079279906558,0.0032893714465344935,0.09876543209876543,False,0.3620679119214052,7,5.0
CapturedFrames_-3.0_0.5_-5.0,-3.0,0.5,-5.0,Y=0.5,5,SW,40,0.004515359031035538,115.81129969851926,0.5229295979896722,-0.9920185082418007,-0.12605428044417033,0.003098013462694167,0.10833333333333334,False,0.31931956579140464,7,5.0
CapturedFrames_-3.0_0.5_-6.0,-3.0,0.5,-6.0,Y=0.5,5,SW,23,0.004417491155238616,118.37717003747511,0.522930101622724,-0.9900212629686034,-0.08423696155220584,0.11296916915027748,0.05434782608695652,False,0.19655739802379382,7,5.0
CapturedFrames_-3.0_0.5_0.0,-3.0,0.5,0.0,Y=0.5,6,W,79,0.0027561924420068935,189.72891468866482,0.5229294006950687,-0.9983612554616282,-0.0016805318607272706,0.057201218568720506,0.08122362869198312,False,0.4616210228842281,7,5.0
CapturedFrames_-3.0_0.5_1.0,-3.0,0.5,1.0,Y=0.5,6,W,93,0.003239256014841029,161.43528114882633,0.5229302054688882,-0.9970480563698325,0.022069371693894054,-0.07353989476587458,0.07974910394265233,False,0.6380177299480546,7,5.0
CapturedFrames_-3.0_0.5_2.0,-3.0,0.5,2.0,Y=0.5,7,NW,76,0.0032227854455660733,162.26032085792997,0.5229302004538179,-0.9991994903739734,0.029169398305228186,0.027377447633095277,0.09868421052631579,False,0.6569614383418362,7,5.0
CapturedFrames_-3.0_0.5_3.0,-3.0,0.5,3.0,Y=0.5,7,NW,59,0.00353103364000903,148.09531442656754,0.5229295371679246,-0.9881427529829249,0.07839986351106207,0.13201273093445523,0.07909604519774012,False,0.44444397419723886,7,5.0
CapturedFrames_-3.0_0.5_4.0,-3.0,0.5,4.0,Y=0.5,7,NW,38,0.003415006783798956,153.12712644150258,0.5229301755813718,-0.997051773616922,0.07627928264389251,0.008320562882604703,0.05482456140350877,False,0.34230033325900383,7,5.0
CapturedFrames_-3.0_0.5_5.0,-3.0,0.5,5.0,Y=0.5,7,NW,25,0.004325723048417138,120.88835927946195,0.5229295620205004,-0.9939929112762351,0.10863725853144875,0.01326794601156107,0.08,True,0.24082185975239917,7,5.0
CapturedFrames_-3.0_0.5_6.0,-3.0,0.5,6.0,Y=0.5,7,NW,7,0.005818068702009385,89.88036406621131,0.522930133098833,-0.9304052151127695,-0.14547377501880437,-0.33642757983366817,0.08333333333333333,False,0.0693619734800651,7,5.0
CapturedFrames_-4.0_0.5_-1.0,-4.0,0.5,-1.0,Y=0.5,6,W,99,0.0035938601100743038,145.5066997589542,0.5229307240122638,-0.9983920926058701,-0.03194865386149482,0.04682427723425096,0.0707070707070707,False,0.6719640585501339,7,5.0
CapturedFrames_-4.0_0.5_-2.0,-4.0,0.5,-2.0,Y=0.5,5,SW,86,0.003814518910067964,137.08941829395314,0.5229301784525013,-0.9974581180005594,-0.05069354791542074,0.050074614671799716,0.07170542635658915,False,0.6492162171521764,7,5.0
CapturedFrames_-4.0_0.5_-3.0,-4.0,0.5,-3.0,Y=0.5,5,SW,68,0.003963256963694066,131.94453127274363,0.5229300823880506,-0.9969562017759224,-0.06932981217187743,0.03566102753340547,0.09436274509803921,False,0.5020721976006848,7,5.0
CapturedFrames_-4.0_0.5_-4.0,-4.0,0.5,-4.0,Y=0.5,5,SW,47,0.004188182005299112,124.85847750968044,0.5229300287150875,-0.9964774611980043,-0.07975928428548347,0.025906097634480103,0.08333333333333333,False,0.30625296202646846,7,5.0
CapturedFrames_-4.0_0.5_-5.0,-4.0,0.5,-5.0,Y=0.5,5,SW,28,0.004133395581889346,126.51345600783016,0.5229301601123174,-0.9968155542017759,-0.0768880462944632,0.021141883511806334,0.08928571428571429,False,0.2744046328185583,7,5.0
CapturedFrames_-4.0_0.5_-6.0,-4.0,0.5,-6.0,Y=0.5,5,SW,14,0.004664809795635367,112.10108276845045,0.5229302289995987,-0.9881508216215017,-0.11418574265781267,-0.10256495455288249,0.13690476190476192,False,0.10731657088317681,7,5.0
CapturedFrames_-4.0_0.5_0.0,-4.0,0.5,0.0,Y=0.5,6,W,105,0.0034902972337588086,149.82387078224733,0.522929841742315,-0.9987999213815185,0.00020534135815851922,0.048976268571614676,0.09761904761904762,False,0.717861518662038,7,5.0
CapturedFrames_-4.0_0.5_1.0,-4.0,0.5,1.0,Y=0.5,6,W,104,0.003591228829461697,145.61312905713694,0.522930067018117,-0.9996616004373711,0.024740385981619102,0.008037282654876413,0.10256410256410256,False,0.7848490189280917,7,5.0
CapturedFrames_-4.0_0.5_2.0,-4.0,0.5,2.0,Y=0.5,7,NW,68,0.003785520060606322,138.1396367098703,0.5229303659300836,-0.9994369603568929,0.02986922394399416,0.015283708108902951,0.08700980392156862,False,0.46992584076071736,7,5.0
