folder_name,camera_x,camera_y,camera_z,L_Elbow,R_Elbow,L_Knee,R_Knee,L_Shoulder,R_Shoulder,L_Hip,R_Hip
CapturedFrames_-1.0_1.5_-3.0,-1.0,1.5,-3.0,15.52782671486236,6.657853784504529,21.859978529416665,25.913534245260237,24.839048497617203,37.22240475210543,48.76401280165719,15.188453154768904
CapturedFrames_-1.0_1.5_-4.0,-1.0,1.5,-4.0,15.458067332051302,8.35775736014211,16.207879453008687,26.71817350582156,28.03741339927488,35.91222619213488,54.60128287990239,10.82244350283731
CapturedFrames_-1.0_1.5_-5.0,-1.0,1.5,-5.0,18.426404253782167,9.20383560118598,13.172704660893238,21.422855951376217,31.27085406759401,35.34528345639135,52.08303457322322,14.212593725401328
CapturedFrames_-1.0_1.5_-6.0,-1.0,1.5,-6.0,20.29069922738958,8.10641488194028,14.077625459850344,22.498393342088782,29.07941363745905,35.049000594819084,48.20537541729112,15.041789522559064
CapturedFrames_-1.0_1.5_3.0,-1.0,1.5,3.0,20.80592525564307,23.628900641808077,27.227180421864777,23.094312046786644,30.724373339072272,33.03322608783193,31.46712594313212,35.5990828352002
CapturedFrames_-1.0_1.5_4.0,-1.0,1.5,4.0,23.52714678145253,23.30089180769988,23.66534425607249,19.58973820489701,31.45631622999761,30.470472029501195,29.977337158988824,34.46163999472495
CapturedFrames_-1.0_1.5_5.0,-1.0,1.5,5.0,26.588195740713907,26.102059122464425,20.076534581555368,18.551346102090605,33.64033054244058,29.689723787788136,30.18099813036507,36.26109711015289
CapturedFrames_-1.0_1.5_6.0,-1.0,1.5,6.0,27.46764280766567,24.526349935709494,17.687506416558026,17.960270966260772,30.075189460661743,33.050872625827104,32.941672500368846,32.1517138621588
CapturedFrames_-2.0_1.5_-3.0,-2.0,1.5,-3.0,18.35025797348632,7.244670468893591,17.28547607513276,23.5991279602658,27.65445667505722,36.58067624491732,57.72641855662437,12.060153832429966
CapturedFrames_-2.0_1.5_-4.0,-2.0,1.5,-4.0,15.91763557413178,8.421730614601508,17.33863511407282,26.88675248760788,28.59474657594344,35.08609295605368,59.26431878354226,10.70202378800871
CapturedFrames_-2.0_1.5_-5.0,-2.0,1.5,-5.0,19.44249220351629,8.36224095045019,16.62086897596618,23.75802786213624,31.20678965349987,35.02329224304878,58.93440694386912,8.220524039313906
CapturedFrames_-2.0_1.5_-6.0,-2.0,1.5,-6.0,22.03399147576584,10.151169971765071,14.437199907610616,18.980861252596377,30.98020028245716,33.12961488052494,56.2089883959944,11.984339782965288
CapturedFrames_-2.0_1.5_3.0,-2.0,1.5,3.0,18.22618924054023,28.93061818773776,21.908152068229874,18.384585128904703,28.57079722135124,39.31886798557108,38.23480262602387,30.41698903835834
CapturedFrames_-2.0_1.5_4.0,-2.0,1.5,4.0,21.44001779775692,33.356789151210364,22.55044629638469,19.080494503549065,27.62681663785893,41.29250498175864,35.47317896479047,32.01119016702872
CapturedFrames_-2.0_1.5_5.0,-2.0,1.5,5.0,23.63169995026597,30.95030476102464,16.675829759877995,13.517601384016524,29.78126366417508,38.15309732145854,34.21076167002475,32.986264612362746
