joint_short,height_bin,azimuth_bin,raw_abs_theta,signed_mean,n_test,bias_signed_theta,abs_bias,n_calib,corr_abs_theta,improvement,r2,n
L_Elbow,0,0,33.127264795684695,-33.12726479568469,69,-31.69740989915757,34.5620167045476,564,64.82467469484226,-95.6837520231571,0.911427776076347,12
L_Elbow,0,1,52.786030446276946,-52.786030446276946,478,-53.507876977676126,53.507876977676126,419,106.29390742395307,-101.3674953871249,0.6432900985044308,13
L_Elbow,0,2,65.42103125004424,-65.42103125004424,424,-65.19232987417791,65.19232987417793,491,130.61336112422214,-99.65041612537073,0.4821158243465095,12
L_Elbow,0,3,88.31571338027277,-88.31571338027277,87,-82.02773003138581,82.02773003138581,263,170.3434434116586,-92.88010807112894,0.9707287038294824,9
L_Elbow,0,4,70.8020007559915,-70.61927440691113,62,-77.0776124004742,77.0776124004742,294,147.8796131564657,-108.86360777587439,0.8759657941742061,8
L_Elbow,0,5,64.64471932771872,-64.64471932771872,149,-63.920159219182786,63.92015921918277,290,128.5648785469015,-98.87916582194013,0.8596046983121365,8
L_Elbow,0,6,52.92586247263191,-52.925862472631906,55,-54.61793852480654,55.574921783847266,471,107.54380099743845,-103.1970684522139,0.974801793596887,7
L_Elbow,0,7,34.10735881253541,-34.1073588125354,18,-34.710646471844335,36.0069595894311,415,68.81800528437975,-101.76879031479625,0.912009703591554,10
L_Elbow,1,0,31.467678178410154,-31.208753537165997,273,-34.269386035244786,34.7388347401206,502,65.73706421365495,-108.90344639013398,0.909640795827668,14
L_Elbow,1,1,57.04158201990171,-57.041582019901725,90,-52.16897361599285,52.16897361599285,767,109.21055563589456,-91.45779581953248,0.8577244583000476,12
L_Elbow,1,2,72.12973761519254,-72.12973761519254,55,-67.08347679602814,67.08347679602814,740,139.2132144112207,-93.0039107502569,0.7129674737377031,12
L_Elbow,1,3,84.7256248462374,-84.7256248462374,80,-83.52592199107755,84.26779551662221,371,168.25154683731495,-98.58401415470574,0.6791398168142952,15
L_Elbow,1,4,75.41112312637543,-75.41112312637544,70,-78.31050673855839,80.4635148378383,448,153.72162986493382,-103.8447691692963,0.5579086062230048,13
L_Elbow,1,5,63.73071389950702,-63.73071389950701,156,-63.28012721041867,63.28012721041866,245,127.01084110992569,-99.29298345880943,0.8233432480314361,10
L_Elbow,1,7,41.033884431305765,-41.033884431305765,56,-33.84531199165323,33.84531199165324,359,74.879196422959,-82.48137474850373,0.6227358154442633,12
L_Elbow,2,0,37.46558201822863,-37.46558201822863,213,-32.1500911333698,33.39716636803126,566,69.61567315159843,-85.81233602010342,0.9076473634924124,12
L_Elbow,2,1,60.635711435687874,-60.635711435687874,123,-52.13669040056394,52.13669040056394,703,112.77240183625182,-85.98347271947446,0.7845298368060348,13
