model,joint,raw_mae,corr_mae,improvement_pct,split
Model2_JointWise,L_Shoulder,38.58283030081678,-1.5657749142972912,104.05821683398935,known_view
Model2_JointWise,R_Shoulder,38.215752840594135,-1.1301278923719134,102.95723048316205,known_view
Model2_JointWise,L_Elbow,16.913657533977766,-1.9851345823630577,111.73687346084151,known_view
Model2_JointWise,R_Elbow,18.39435975185565,0.21474905933395105,98.8325276757062,known_view
Model2_JointWise,L_Hip,30.097120388516462,-0.10488936799069502,100.34850300173805,known_view
Model2_JointWise,R_Hip,35.09295651053213,2.3899716557004473,93.18959730570671,known_view
Model2_JointWise,L_Knee,16.521182392999766,-0.4905530925865248,102.96923719451448,known_view
Model2_JointWise,R_Knee,19.2530402772499,-0.3851464737140789,102.00044495917449,known_view
Model3_HeightWise,L_Shoulder,38.58283030081678,17.428674415019113,54.82790070315252,known_view
Model3_HeightWise,R_Shoulder,38.215752840594135,16.44506665356588,56.96783281448967,known_view
Model3_HeightWise,L_Elbow,16.913657533977766,7.74806364403112,54.19048997257943,known_view
Model3_HeightWise,R_Elbow,18.39435975185565,9.291143344540354,49.489172388274895,known_view
Model3_HeightWise,L_Hip,30.097120388516462,16.682639449513385,44.57064584863529,known_view
Model3_HeightWise,R_Hip,35.09295651053213,21.02471509367276,40.08850440582628,known_view
Model3_HeightWise,L_Knee,16.521182392999766,6.279061349072337,61.99387428993669,known_view
Model3_HeightWise,R_Knee,19.2530402772499,7.840711346180151,59.2754638578042,known_view
Model4_ViewBin,L_Shoulder,38.58283030081678,35.28179281169357,8.555716269092184,known_view
Model4_ViewBin,R_Shoulder,38.215752840594135,34.75283632130158,9.061489731046517,known_view
Model4_ViewBin,L_Elbow,16.913657533977766,15.519818091199568,8.240910873228458,known_view
Model4_ViewBin,R_Elbow,18.39435975185565,16.8344100986608,8.480586844222609,known_view
Model4_ViewBin,L_Hip,30.097120388516462,27.415779916625628,8.908960183825089,known_view
Model4_ViewBin,R_Hip,35.09295651053213,32.331814433354666,7.868080525927734,known_view
Model4_ViewBin,L_Knee,16.521182392999766,14.941870406243744,9.559315726852551,known_view
Model4_ViewBin,R_Knee,19.2530402772499,17.362782368539573,9.817970987906396,known_view
Model5_Linear,L_Shoulder,38.58283030081678,-1.398214343476793,103.62392891494845,known_view
Model5_Linear,R_Shoulder,38.215752840594135,-1.3029672949620954,103.4095031449388,known_view
Model5_Linear,L_Elbow,16.913657533977766,-0.5897059801278353,103.48656687025368,known_view
Model5_Linear,R_Elbow,18.39435975185565,0.2037836917723677,98.89214033800872,known_view
Model5_Linear,L_Hip,30.097120388516462,-1.3192548950675922,104.38332597284274,known_view
Model5_Linear,R_Hip,35.09295651053213,3.672056394855505,89.53620110704139,known_view
Model5_Linear,L_Knee,16.521182392999766,-0.08894453539115049,100.53836664516722,known_view
Model5_Linear,R_Knee,19.2530402772499,-0.9040336678029428,104.69553719716247,known_view
Model2_JointWise,L_Shoulder,40.53735784364273,0.38875262852865833,99.04100156199593,unknown_view
Model2_JointWise,R_Shoulder,37.18659562354743,-2.159285109418618,105.80662217987846,unknown_view
Model2_JointWise,L_Elbow,18.061197936124543,-0.8375941802162785,104.63753391762012,unknown_view
Model2_JointWise,R_Elbow,15.593171085230308,-2.5864396072913887,116.58700204823147,unknown_view
Model2_JointWise,L_Hip,26.655655376589294,-3.546354379917855,113.30432259051673,unknown_view
Model2_JointWise,R_Hip,43.46587560697684,10.762890752145163,75.23829762578721,unknown_view
Model2_JointWise,L_Knee,17.72560464863967,0.7138691630533834,95.9726667879385,unknown_view
Model2_JointWise,R_Knee,17.7180111268032,-1.9201756241607797,110.83742193420348,unknown_view
Model3_HeightWise,L_Shoulder,40.53735784364273,19.568474350676485,51.72730688034887,unknown_view
Model3_HeightWise,R_Shoulder,37.18659562354743,15.905425872632451,57.228066710788774,unknown_view
Model3_HeightWise,L_Elbow,18.061197936124543,8.952611243058156,50.43179707835509,unknown_view
Model3_HeightWise,R_Elbow,15.593171085230308,5.637659381085341,63.84533107300238,unknown_view
Model3_HeightWise,L_Hip,26.655655376589294,13.992178654747093,47.50765472817479,unknown_view
Model3_HeightWise,R_Hip,43.46587560697684,31.410910499419014,27.734320174658684,unknown_view
Model3_HeightWise,L_Knee,17.72560464863967,7.274095201439048,58.962780984753095,unknown_view
Model3_HeightWise,R_Knee,17.7180111268032,6.185332001716205,65.09014495222183,unknown_view
Model4_ViewBin,L_Shoulder,40.53735784364273,37.38908288159291,7.7663546158905525,unknown_view
Model4_ViewBin,R_Shoulder,37.18659562354743,33.895653213272674,8.849808257766023,unknown_view
Model4_ViewBin,L_Elbow,18.061197936124543,16.719450538421523,7.428894818872264,unknown_view
