camera,joint,status,lag,mae_raw,mae_corr
CapturedFrames_-1.0_0.5_5.0,R_Shoulder,ok,13.0,34.114285018227264,12.063987451843412
CapturedFrames_-1.0_0.5_5.0,L_Hip,ok,-9.0,9.258584627004497,13.6739693982808
CapturedFrames_-1.0_0.5_5.0,R_Hip,ok,-19.0,10.214229130284698,25.62310245663664
CapturedFrames_-1.0_0.5_6.0,L_Elbow,ok,10.0,23.987074615522577,35.37919753937252
CapturedFrames_-1.0_0.5_6.0,R_Elbow,ok,7.0,18.0541050877408,44.96103799522145
CapturedFrames_-1.0_0.5_6.0,L_Knee,ok,7.0,24.967003679225204,28.206035135195155
CapturedFrames_-1.0_0.5_6.0,R_Knee,ok,13.0,8.763787970083282,18.963035821632058
CapturedFrames_-1.0_0.5_6.0,L_Shoulder,ok,7.0,27.821544547531406,8.415066600665599
CapturedFrames_-1.0_0.5_6.0,R_Shoulder,ok,9.0,29.86444044213971,11.625620294324536
CapturedFrames_-1.0_0.5_6.0,L_Hip,ok,12.0,7.338125416210736,17.89438329706035
CapturedFrames_-1.0_0.5_6.0,R_Hip,ok,8.0,3.8534397223830377,21.6288423712748
CapturedFrames_-2.0_0.5_-3.0,L_Elbow,ok,3.0,16.882604132722072,20.58477441674714
CapturedFrames_-2.0_0.5_-3.0,R_Elbow,ok,8.0,7.641477345042825,3.5135634259736293
CapturedFrames_-2.0_0.5_-3.0,L_Knee,ok,1.0,13.882758247606345,14.152193156888588
CapturedFrames_-2.0_0.5_-3.0,R_Knee,ok,2.0,18.489037651232398,18.267163802850522
CapturedFrames_-2.0_0.5_-3.0,L_Shoulder,ok,-15.0,32.275601591573384,13.571823041637508
CapturedFrames_-2.0_0.5_-3.0,R_Shoulder,ok,4.0,34.40984644145563,8.085537852847587
CapturedFrames_-2.0_0.5_-3.0,L_Hip,ok,12.0,12.277096462110439,19.30073319766826
CapturedFrames_-2.0_0.5_-3.0,R_Hip,ok,-4.0,12.04186623227475,7.879231535368118
CapturedFrames_-2.0_0.5_-4.0,L_Elbow,ok,-17.0,19.23315900330115,21.010546374563948
CapturedFrames_-2.0_0.5_-4.0,R_Elbow,ok,0.0,6.609735413823497,2.708971467368155
CapturedFrames_-2.0_0.5_-4.0,L_Knee,ok,1.0,11.868880289189326,14.875918630190252
CapturedFrames_-2.0_0.5_-4.0,R_Knee,ok,1.0,16.923447010292225,18.069103591702476
CapturedFrames_-2.0_0.5_-4.0,L_Shoulder,ok,14.0,27.80617817008623,11.767447138782423
CapturedFrames_-2.0_0.5_-4.0,R_Shoulder,ok,3.0,34.39145158474199,6.762600213759352
CapturedFrames_-2.0_0.5_-4.0,L_Hip,ok,9.0,11.029978340980604,17.820685481209097
CapturedFrames_-2.0_0.5_-4.0,R_Hip,ok,-1.0,8.048605634991924,6.694134017356081
CapturedFrames_-2.0_0.5_-5.0,L_Elbow,ok,7.0,17.46500837334809,25.823388738265468
CapturedFrames_-2.0_0.5_-5.0,R_Elbow,ok,19.0,8.46583670603356,2.564464728002662
CapturedFrames_-2.0_0.5_-5.0,L_Knee,ok,1.0,14.300503887639644,15.772716035732023
CapturedFrames_-2.0_0.5_-5.0,R_Knee,ok,1.0,14.561247025903997,21.878880484712532
CapturedFrames_-2.0_0.5_-5.0,L_Shoulder,ok,16.0,34.37595680230097,12.99488217025777
CapturedFrames_-2.0_0.5_-5.0,R_Shoulder,ok,3.0,32.024144481733074,5.101445925608557
CapturedFrames_-2.0_0.5_-5.0,L_Hip,ok,14.0,11.849684896738797,21.00428365107094
CapturedFrames_-2.0_0.5_-5.0,R_Hip,ok,-3.0,9.700670119846881,5.960414255647535
CapturedFrames_-2.0_0.5_-6.0,L_Elbow,ok,12.0,20.86203132128588,27.00553768859559
CapturedFrames_-2.0_0.5_-6.0,R_Elbow,ok,12.0,8.403035341685303,2.335821878680113
CapturedFrames_-2.0_0.5_-6.0,L_Knee,ok,0.0,14.265705807471948,16.637580181165806
CapturedFrames_-2.0_0.5_-6.0,R_Knee,ok,2.0,19.322357016364837,21.89855636980233
CapturedFrames_-2.0_0.5_-6.0,L_Shoulder,ok,14.0,33.85163532474255,8.889884194698514
CapturedFrames_-2.0_0.5_-6.0,R_Shoulder,ok,12.0,28.881203181311133,4.307640021228517
CapturedFrames_-2.0_0.5_-6.0,L_Hip,ok,7.0,11.690434480822878,19.522258168313797
CapturedFrames_-2.0_0.5_-6.0,R_Hip,ok,0.0,8.246598418357022,5.426553608576416
CapturedFrames_-2.0_0.5_3.0,L_Elbow,ok,2.0,15.713526694018874,18.042994176274224
CapturedFrames_-2.0_0.5_3.0,R_Elbow,ok,-17.0,28.04514507869011,54.29808676404809
CapturedFrames_-2.0_0.5_3.0,L_Knee,ok,16.0,21.589715602377144,35.45983633469367
CapturedFrames_-2.0_0.5_3.0,R_Knee,ok,1.0,15.550242748998754,22.664716749039776
CapturedFrames_-2.0_0.5_3.0,L_Shoulder,ok,-9.0,31.283748397924843,10.488040943805105
CapturedFrames_-2.0_0.5_3.0,R_Shoulder,ok,5.0,39.66439952662367,6.70320329111765
