joint,n,replace_rate,mean_err_before,mean_err_after,mean_los_before,mean_perp_before,mean_dyn_before,mean_dyn_after,dyn_improvement_pct,improvement_pct
LEFT_ANKLE,21502,0.16631011068737792,0.9227916837426348,0.918244973634548,0.5161338382082518,0.6758052113852879,0.6778777810534033,0.6666362050209281,1.6583485027354226,0.4927125144481456
LEFT_ELBOW,21502,0.1859361919821412,0.6954546929422822,0.6923635799838324,0.48159663026797644,0.4157089327924532,0.5475372833674241,0.5430430456427691,0.8208094427862401,0.4444736644701055
LEFT_HIP,21502,0.27281183145753884,,,,,,,,
LEFT_KNEE,21502,0.17621616593805228,0.7034804061750796,0.7010813260493967,0.4223916830722762,0.4878444434978937,0.5770269208576286,0.5716655960829423,0.9291290546232814,0.3410301274383799
LEFT_SHOULDER,21502,0.18063435959445634,0.6941953643808162,0.6912576523082825,0.47012730835931965,0.42913977029984696,0.525179352175727,0.5209757214594142,0.8004181236177484,0.42318232348813783
LEFT_WRIST,21502,0.18830806436610548,0.7168405740503292,0.712898401922981,0.48000916006512906,0.4481287100943476,0.5793186697984384,0.5737259677645202,0.9653930255456833,0.5499370808594011
RIGHT_ANKLE,21502,0.16179890242768113,0.9355555587899553,0.9298710265273585,0.5078171926234958,0.703136030165463,0.68947877305677,0.6779246502258325,1.6757764390211543,0.6076103347565113
RIGHT_ELBOW,21502,0.17993675006976095,0.7031031860029918,0.7006751062422452,0.48341831746204833,0.4190895697550303,0.5488010821902033,0.5445618285615288,0.7724572283560587,0.3453376131816202
RIGHT_HIP,21502,0.269463305739001,,,,,,,,
RIGHT_KNEE,21502,0.17296065482280717,0.712395801456611,0.7096943985351764,0.41277767651218944,0.5054846195029377,0.5893197691605706,0.5841960095417971,0.8694362359626661,0.3791997251964638
RIGHT_SHOULDER,21502,0.1775183703841503,0.6945401087490002,0.6919406419721034,0.45349960882235524,0.4434272988319439,0.5308765754053119,0.5265328851151947,0.8182109536102357,0.37427165748266966
RIGHT_WRIST,21502,0.18584317737884848,0.7330445329764897,0.7301960499642887,0.5034304568880107,0.4457346588293769,0.5723808329883338,0.5665821031362432,1.0130894533655186,0.3885825327193925
