joint,model,bias_mean,bias_median,bias_std,n
L_Shoulder,Model2_JointWise,40.148605215114074,39.54659005577298,7.661511163660181,336
R_Shoulder,Model2_JointWise,39.34588073296605,40.25726829159533,6.927453281099321,349
L_Elbow,Model2_JointWise,18.89879211634082,15.984375645849282,9.85082674825582,335
R_Elbow,Model2_JointWise,18.1796106925217,13.524653069865971,10.476670745249585,349
L_Hip,Model2_JointWise,30.202009756507152,29.52918073812284,14.159157510266926,355
R_Hip,Model2_JointWise,32.702984854831676,32.11136744422238,15.676149820584858,356
L_Knee,Model2_JointWise,17.011735485586293,16.620687644739554,4.694761338662348,355
R_Knee,Model2_JointWise,19.638186750963982,19.520864616383996,5.880623378240852,356
