Frame,Time,Hips_X,Hips_Y,Hips_Z,LeftUpperLeg_X,LeftUpperLeg_Y,LeftUpperLeg_Z,RightUpperLeg_X,RightUpperLeg_Y,RightUpperLeg_Z,LeftLowerLeg_X,LeftLowerLeg_Y,LeftLowerLeg_Z,RightLowerLeg_X,RightLowerLeg_Y,RightLowerLeg_Z,LeftFoot_X,LeftFoot_Y,LeftFoot_Z,RightFoot_X,RightFoot_Y,RightFoot_Z,Spine_X,Spine_Y,Spine_Z,Chest_X,Chest_Y,Chest_Z,Neck_X,Neck_Y,Neck_Z,Head_X,Head_Y,Head_Z,LeftShoulder_X,LeftShoulder_Y,LeftShoulder_Z,RightShoulder_X,RightShoulder_Y,RightShoulder_Z,LeftUpperArm_X,LeftUpperArm_Y,LeftUpperArm_Z,RightUpperArm_X,RightUpperArm_Y,RightUpperArm_Z,LeftLowerArm_X,LeftLowerArm_Y,LeftLowerArm_Z,RightLowerArm_X,RightLowerArm_Y,RightLowerArm_Z,LeftHand_X,LeftHand_Y,LeftHand_Z,RightHand_X,RightHand_Y,RightHand_Z,LeftToes_X,LeftToes_Y,LeftToes_Z,RightToes_X,RightToes_Y,RightToes_Z,LeftEye_X,LeftEye_Y,LeftEye_Z,RightEye_X,RightEye_Y,RightEye_Z,Jaw_X,Jaw_Y,Jaw_Z,LeftThumbProximal_X,LeftThumbProximal_Y,LeftThumbProximal_Z,LeftThumbIntermediate_X,LeftThumbIntermediate_Y,LeftThumbIntermediate_Z,LeftThumbDistal_X,LeftThumbDistal_Y,LeftThumbDistal_Z,LeftIndexProximal_X,LeftIndexProximal_Y,LeftIndexProximal_Z,LeftIndexIntermediate_X,LeftIndexIntermediate_Y,LeftIndexIntermediate_Z,LeftIndexDistal_X,LeftIndexDistal_Y,LeftIndexDistal_Z,LeftMiddleProximal_X,LeftMiddleProximal_Y,LeftMiddleProximal_Z,LeftMiddleIntermediate_X,LeftMiddleIntermediate_Y,LeftMiddleIntermediate_Z,LeftMiddleDistal_X,LeftMiddleDistal_Y,LeftMiddleDistal_Z,LeftRingProximal_X,LeftRingProximal_Y,LeftRingProximal_Z,LeftRingIntermediate_X,LeftRingIntermediate_Y,LeftRingIntermediate_Z,LeftRingDistal_X,LeftRingDistal_Y,LeftRingDistal_Z,LeftLittleProximal_X,LeftLittleProximal_Y,LeftLittleProximal_Z,LeftLittleIntermediate_X,LeftLittleIntermediate_Y,LeftLittleIntermediate_Z,LeftLittleDistal_X,LeftLittleDistal_Y,LeftLittleDistal_Z,RightThumbProximal_X,RightThumbProximal_Y,RightThumbProximal_Z,RightThumbIntermediate_X,RightThumbIntermediate_Y,RightThumbIntermediate_Z,RightThumbDistal_X,RightThumbDistal_Y,RightThumbDistal_Z,RightIndexProximal_X,RightIndexProximal_Y,RightIndexProximal_Z,RightIndexIntermediate_X,RightIndexIntermediate_Y,RightIndexIntermediate_Z,RightIndexDistal_X,RightIndexDistal_Y,RightIndexDistal_Z,RightMiddleProximal_X,RightMiddleProximal_Y,RightMiddleProximal_Z,RightMiddleIntermediate_X,RightMiddleIntermediate_Y,RightMiddleIntermediate_Z,RightMiddleDistal_X,RightMiddleDistal_Y,RightMiddleDistal_Z,RightRingProximal_X,RightRingProximal_Y,RightRingProximal_Z,RightRingIntermediate_X,RightRingIntermediate_Y,RightRingIntermediate_Z,RightRingDistal_X,RightRingDistal_Y,RightRingDistal_Z,RightLittleProximal_X,RightLittleProximal_Y,RightLittleProximal_Z,RightLittleIntermediate_X,RightLittleIntermediate_Y,RightLittleIntermediate_Z,RightLittleDistal_X,RightLittleDistal_Y,RightLittleDistal_Z,UpperChest_X,UpperChest_Y,UpperChest_Z
10,8.428,-0.175345,0.916917,-2.772579,-0.265124,0.848536,-2.777085,-0.082773,0.852228,-2.771015,-0.282681,0.522605,-2.535647,-0.043068,0.454908,-2.844442,-0.251937,0.102895,-2.524206,-0.028884,0.205180,-3.183069,-0.176995,1.016299,-2.783476,-0.180498,1.133461,-2.788449,-0.197775,1.415780,-2.765660,-0.214302,1.513766,-2.723623,-0.253638,1.354153,-2.783476,-0.133308,1.360322,-2.763602,-0.371484,1.315410,-2.819665,-0.006412,1.336383,-2.758834,-0.421075,1.055903,-2.892455,0.106140,1.098615,-2.682023,-0.462210,0.785588,-2.931104,0.133928,0.865486,-2.536645,-0.264377,0.030818,-2.385041,-0.022166,0.048109,-3.182528,,,,,,,,,,-0.427905,0.746129,-2.922555,-0.403750,0.705325,-2.924289,-0.385734,0.667310,-2.936561,-0.439794,0.662186,-2.941981,-0.422869,0.630673,-2.957317,-0.401391,0.608778,-2.972338,-0.452189,0.663658,-2.967901,-0.434026,0.638051,-2.985803,-0.411702,0.618659,-3.003764,-0.461144,0.674935,-2.985888,-0.443416,0.650101,-3.005014,-0.419820,0.635495,-3.023006,-0.469411,0.693177,-3.005574,-0.446171,0.666297,-3.026753,-0.426664,0.655465,-3.039999,0.094506,0.835191,-2.518340,0.068018,0.798074,-2.505220,0.056672,0.757029,-2.494880,0.099516,0.777490,-2.453451,0.088172,0.743238,-2.438861,0.073195,0.712547,-2.439068,0.124792,0.764753,-2.458601,0.116608,0.731701,-2.446491,0.101711,0.701521,-2.454506,0.144537,0.761987,-2.470149,0.136585,0.728181,-2.460620,0.121104,0.703546,-2.476346,0.166050,0.761763,-2.488199,0.155504,0.722473,-2.480697,0.144368,0.700133,-2.487785,-0.185967,1.267909,-2.791255
11,8.462,-0.183514,0.922280,-2.718254,-0.273551,0.854282,-2.723373,-0.091277,0.857177,-2.714984,-0.292491,0.522145,-2.490655,-0.040992,0.454353,-2.720990,-0.252035,0.104393,-2.523502,-0.036830,0.243527,-3.085363,-0.184552,1.021578,-2.729960,-0.187402,1.138747,-2.735177,-0.202501,1.421148,-2.712129,-0.218455,1.519060,-2.669701,-0.259113,1.359834,-2.728608,-0.138309,1.365337,-2.711633,-0.377862,1.320469,-2.760977,-0.011519,1.340422,-2.710216,-0.436716,1.058589,-2.816267,0.096602,1.095448,-2.651914,-0.481757,0.786328,-2.826317,0.132715,0.851344,-2.527959,-0.264531,0.032411,-2.384293,-0.025142,0.089130,-3.112601,,,,,,,,,,-0.448321,0.746983,-2.814443,-0.425305,0.705538,-2.812449,-0.409408,0.666042,-2.822824,-0.462884,0.661868,-2.824856,-0.447722,0.628173,-2.837085,-0.427621,0.603843,-2.850136,-0.475835,0.661028,-2.850531,-0.458980,0.633052,-2.866002,-0.437766,0.611099,-2.882280,-0.484903,0.670654,-2.869398,-0.468725,0.643178,-2.886137,-0.446253,0.625735,-2.903006,-0.493139,0.687010,-2.890689,-0.471082,0.657248,-2.909099,-0.452160,0.644401,-2.921355,0.093732,0.820057,-2.510397,0.067439,0.782257,-2.498939,0.056974,0.740398,-2.491282,0.100585,0.757966,-2.449875,0.089426,0.722755,-2.437613,0.074191,0.692262,-2.439723,0.125566,0.745486,-2.456794,0.117642,0.711694,-2.446726,0.102303,0.682193,-2.456286,0.144869,0.743425,-2.469203,0.137017,0.709063,-2.461826,0.120824,0.685681,-2.478706,0.165729,0.744342,-2.487982,0.155358,0.704651,-2.482675,0.143906,0.682825,-2.490787,-0.192125,1.273222,-2.738028
12,8.495,-0.189512,0.930708,-2.666485,-0.279861,0.863185,-2.672335,-0.097701,0.865110,-2.661556,-0.295860,0.517552,-2.459935,-0.046416,0.466721,-2.602501,-0.252128,0.103789,-2.524127,-0.049949,0.264687,-2.971828,-0.189828,1.029928,-2.678873,-0.191822,1.147115,-2.684071,-0.202975,1.429450,-2.658823,-0.216367,1.527154,-2.615049,-0.260918,1.368849,-2.673174,-0.139417,1.372988,-2.661666,-0.381044,1.329494,-2.699999,-0.012953,1.346815,-2.666179,-0.447402,1.065856,-2.734543,0.089091,1.096076,-2.623535,-0.492945,0.794442,-2.711828,0.134877,0.843531,-2.521649,-0.264617,0.031482,-2.385085,-0.027547,0.110809,-2.994992,,,,,,,,,,-0.459764,0.755795,-2.697253,-0.437434,0.714276,-2.691875,-0.423054,0.673571,-2.699402,-0.476267,0.670403,-2.698226,-0.462600,0.635067,-2.707132,-0.443767,0.608766,-2.718083,-0.490270,0.667217,-2.723155,-0.474816,0.637253,-2.736169,-0.454885,0.613055,-2.750805,-0.499927,0.675052,-2.742551,-0.485090,0.645537,-2.756888,-0.463739,0.625819,-2.772673,-0.508732,0.689313,-2.765084,-0.488045,0.657368,-2.781294,-0.469897,0.642952,-2.792963,0.096758,0.810906,-2.504635,0.071014,0.772279,-2.494801,0.062170,0.729601,-2.490260,0.106467,0.744456,-2.449361,0.095896,0.708378,-2.439290,0.080552,0.678095,-2.443008,0.131073,0.732599,-2.458395,0.123588,0.698120,-2.450573,0.107753,0.669422,-2.461650,0.149753,0.731531,-2.471842,0.142309,0.696675,-2.466687,0.125336,0.674562,-2.484484,0.169684,0.733915,-2.491482,0.159906,0.693820,-2.488662,0.148240,0.672535,-2.497837,-0.195340,1.281639,-2.686284
13,8.528,-0.192851,0.941730,-2.616663,-0.283501,0.874691,-2.623362,-0.101495,0.875639,-2.610132,-0.293808,0.512992,-2.439244,-0.052287,0.490015,-2.493065,-0.252489,0.102304,-2.522075,-0.062965,0.264817,-2.848599,-0.192427,1.040879,-2.629602,-0.193708,1.158080,-2.634713,-0.201301,1.440281,-2.607379,-0.211115,1.537801,-2.562266,-0.260398,1.380222,-2.619051,-0.138427,1.383375,-2.614033,-0.381971,1.341181,-2.638912,-0.012670,1.356075,-2.625798,-0.452250,1.076583,-2.651170,0.084098,1.101011,-2.599719,-0.491851,0.809327,-2.594055,0.140501,0.842346,-2.521192,-0.265027,0.030121,-2.382973,-0.040670,0.109205,-2.850725,,,,,,,,,,-0.457988,0.772111,-2.577465,-0.435639,0.731146,-2.568872,-0.421902,0.689666,-2.572195,-0.475162,0.687461,-2.567245,-0.462339,0.651106,-2.572596,-0.444451,0.623391,-2.581441,-0.490971,0.681623,-2.590562,-0.476749,0.650080,-2.600996,-0.458133,0.623996,-2.614036,-0.501958,0.687303,-2.610001,-0.488085,0.656318,-2.622016,-0.467838,0.634895,-2.637013,-0.512275,0.698986,-2.633362,-0.493077,0.665226,-2.647605,-0.475936,0.649452,-2.659037,0.104182,0.807920,-2.503791,0.079613,0.768273,-2.495075,0.072224,0.725100,-2.493748,0.119006,0.737244,-2.455310,0.109931,0.700353,-2.446855,0.094727,0.670096,-2.451285,0.142816,0.726505,-2.467368,0.136229,0.691422,-2.461723,0.119649,0.663502,-2.473665,0.160278,0.726803,-2.482397,0.153754,0.691520,-2.479323,0.135552,0.670521,-2.497254,0.178433,0.731073,-2.503392,0.169607,0.690659,-2.503253,0.157545,0.669975,-2.513253,-0.196295,1.292635,-2.636289
14,8.562,-0.193716,0.953652,-2.566123,-0.284640,0.887090,-2.573801,-0.102830,0.887083,-2.558075,-0.288539,0.509270,-2.425247,-0.057327,0.519526,-2.391753,-0.252581,0.100754,-2.520406,-0.073870,0.255039,-2.718871,-0.192560,1.052745,-2.579449,-0.193659,1.169939,-2.584753,-0.198698,1.452124,-2.556959,-0.205105,1.549526,-2.510988,-0.258584,1.392374,-2.565880,-0.136498,1.394920,-2.566687,-0.381392,1.354287,-2.578768,-0.011837,1.366424,-2.585290,-0.453482,1.090054,-2.569493,0.080316,1.108444,-2.577793,-0.480652,0.830691,-2.478674,0.144224,0.845377,-2.523320,-0.265297,0.028811,-2.381197,-0.059359,0.101009,-2.690929,,,,,,,,,,-0.445125,0.795576,-2.461019,-0.421835,0.755831,-2.449642,-0.407404,0.714487,-2.447989,-0.460789,0.712999,-2.438638,-0.447999,0.676289,-2.440512,-0.430630,0.647711,-2.447439,-0.478817,0.704419,-2.459351,-0.465438,0.671764,-2.467145,-0.447987,0.644185,-2.478628,-0.491717,0.707712,-2.478156,-0.478500,0.675653,-2.487869,-0.459405,0.652811,-2.502272,-0.504369,0.716467,-2.501649,-0.486655,0.681078,-2.513688,-0.470717,0.663941,-2.524898,0.109846,0.809466,-2.505002,0.086042,0.769176,-2.497161,0.078434,0.726061,-2.499040,0.129531,0.734537,-2.465463,0.121708,0.696997,-2.458809,0.106133,0.666989,-2.463632,0.151616,0.724981,-2.481230,0.145441,0.689527,-2.477917,0.127302,0.662718,-2.490130,0.167169,0.726693,-2.498142,0.161011,0.691221,-2.497329,0.140732,0.671679,-2.514671,0.182746,0.732921,-2.520664,0.173999,0.692577,-2.523314,0.160846,0.672782,-2.533730,-0.195815,1.304501,-2.586282
15,8.595,-0.193298,0.963622,-2.513627,-0.284478,0.897556,-2.522460,-0.102909,0.896559,-2.504191,-0.282409,0.506347,-2.413911,-0.064046,0.547432,-2.300643,-0.252657,0.099668,-2.518601,-0.082595,0.240775,-2.588480,-0.191397,1.062681,-2.527109,-0.192797,1.179852,-2.532847,-0.195203,1.462113,-2.505627,-0.198385,1.559424,-2.459131,-0.255850,1.402794,-2.511884,-0.133891,1.404428,-2.517831,-0.379662,1.366371,-2.518409,-0.010663,1.374336,-2.542488,-0.453693,1.104140,-2.489153,0.076186,1.114672,-2.554052,-0.463001,0.857060,-2.366186,0.142367,0.848483,-2.522125,-0.265620,0.027880,-2.379335,-0.073251,0.097195,-2.525123,,,,,,,,,,-0.424742,0.824852,-2.348700,-0.399235,0.787120,-2.335390,-0.382517,0.747061,-2.329379,-0.435492,0.745513,-2.314716,-0.421791,0.709113,-2.313275,-0.404366,0.680191,-2.318395,-0.455559,0.734203,-2.331950,-0.442282,0.700990,-2.337115,-0.425519,0.672393,-2.347026,-0.470632,0.734974,-2.349359,-0.457644,0.702169,-2.356571,-0.439624,0.678037,-2.370236,-0.486148,0.740583,-2.372084,-0.469229,0.704071,-2.381663,-0.454336,0.685796,-2.392504,0.108851,0.812182,-2.502998,0.084320,0.772178,-2.495967,0.074479,0.729753,-2.500823,0.129698,0.733097,-2.473397,0.121357,0.695330,-2.469059,0.104151,0.666320,-2.474417,0.149201,0.724361,-2.492657,0.141885,0.688980,-2.491766,0.121181,0.664057,-2.503898,0.162618,0.727172,-2.511176,0.155152,0.691977,-2.512739,0.132088,0.674758,-2.529030,0.175582,0.735024,-2.534818,0.165004,0.695380,-2.540074,0.149935,0.677020,-2.550523,-0.194643,1.314415,-2.534705
16,8.628,-0.193022,0.969193,-2.462367,-0.284416,0.903625,-2.472589,-0.103123,0.901638,-2.451828,-0.275486,0.503015,-2.407290,-0.071498,0.576371,-2.210928,-0.252466,0.098183,-2.520489,-0.089406,0.220102,-2.434500,-0.190420,1.068268,-2.475615,-0.192044,1.185442,-2.481235,-0.191160,1.467651,-2.453523,-0.191013,1.564744,-2.406465,-0.252629,1.408976,-2.457368,-0.131008,1.409360,-2.468336,-0.377196,1.374608,-2.458066,-0.009513,1.377677,-2.498897,-0.454035,1.115801,-2.410991,0.071292,1.117702,-2.530280,-0.438636,0.885710,-2.259081,0.136000,0.849467,-2.519385,-0.265180,0.026078,-2.381364,-0.080737,0.100498,-2.332831,,,,,,,,,,-0.397093,0.857249,-2.242614,-0.368430,0.822369,-2.228011,-0.348655,0.784359,-2.218819,-0.399975,0.782598,-2.198073,-0.384416,0.747234,-2.193372,-0.366257,0.718489,-2.196579,-0.421379,0.768538,-2.211182,-0.407251,0.735361,-2.213588,-0.390426,0.706233,-2.221681,-0.438422,0.766592,-2.226564,-0.424953,0.733472,-2.230865,-0.407595,0.708210,-2.243290,-0.456763,0.768750,-2.247721,-0.439521,0.731770,-2.254534,-0.425214,0.712657,-2.264700,0.102358,0.813341,-2.500149,0.076131,0.774246,-2.494213,0.063122,0.733116,-2.501922,0.120961,0.730677,-2.480506,0.110665,0.693180,-2.478866,0.091130,0.665853,-2.485029,0.137738,0.722841,-2.502524,0.128224,0.688013,-2.504126,0.104760,0.665622,-2.516170,0.149308,0.726739,-2.522064,0.139389,0.692352,-2.526065,0.113656,0.678168,-2.541246,0.160223,0.736180,-2.546155,0.146641,0.697873,-2.553856,0.129421,0.681472,-2.564239,-0.193339,1.320015,-2.482834
17,8.662,-0.192988,0.970506,-2.411282,-0.284527,0.905417,-2.423140,-0.103525,0.902481,-2.400071,-0.269658,0.500378,-2.399590,-0.080050,0.595487,-2.135430,-0.251804,0.097966,-2.521976,-0.092174,0.199999,-2.279221,-0.189785,1.069659,-2.423793,-0.191718,1.186870,-2.428468,-0.187118,1.468804,-2.398547,-0.183934,1.565523,-2.350832,-0.249436,1.410935,-2.400426,-0.128346,1.409891,-2.416179,-0.374532,1.378871,-2.395788,-0.008780,1.377119,-2.452628,-0.455660,1.124692,-2.333232,0.065247,1.118365,-2.504279,-0.409711,0.915494,-2.158932,0.125830,0.849070,-2.512396,-0.263949,0.025770,-2.382847,-0.082137,0.110600,-2.150287,,,,,,,,,,-0.365499,0.890799,-2.143362,-0.334017,0.859156,-2.127267,-0.311447,0.823695,-2.114881,-0.360492,0.823382,-2.088634,-0.343014,0.789571,-2.080510,-0.324058,0.761177,-2.081429,-0.382581,0.807024,-2.097128,-0.367386,0.774248,-2.096185,-0.350279,0.744690,-2.101724,-0.401084,0.802428,-2.110066,-0.386864,0.769351,-2.110828,-0.369926,0.742903,-2.121194,-0.421665,0.801014,-2.129120,-0.403727,0.763872,-2.132262,-0.389790,0.743812,-2.141018,0.091802,0.812827,-2.494080,0.063935,0.774654,-2.489872,0.048031,0.735231,-2.500511,0.107144,0.727762,-2.484397,0.094649,0.690928,-2.485788,0.073013,0.665535,-2.493092,0.121655,0.721445,-2.508422,0.109977,0.687515,-2.512725,0.084338,0.667765,-2.524954,0.131851,0.726781,-2.528383,0.119541,0.693585,-2.534966,0.091865,0.682457,-2.549250,0.141351,0.738128,-2.552250,0.124904,0.701577,-2.562483,0.105945,0.687253,-2.572908,-0.192339,1.321456,-2.428909
18,8.695,-0.192378,0.967713,-2.359932,-0.284286,0.903569,-2.373902,-0.103674,0.898782,-2.348239,-0.267294,0.498232,-2.389538,-0.093813,0.599300,-2.074295,-0.250920,0.099514,-2.523661,-0.090719,0.180976,-2.121501,-0.188145,1.066976,-2.371203,-0.190962,1.184205,-2.374845,-0.182611,1.465708,-2.342175,-0.177191,1.561996,-2.293795,-0.245823,1.408786,-2.342528,-0.125365,1.406131,-2.362403,-0.371256,1.379187,-2.333099,-0.007753,1.372693,-2.404211,-0.458011,1.131044,-2.255639,0.058628,1.116336,-2.474753,-0.381884,0.943664,-2.067625,0.113567,0.846828,-2.499306,-0.262777,0.026679,-2.384840,-0.080525,0.121906,-1.976162,,,,,,,,,,-0.335862,0.922104,-2.052654,-0.302306,0.893690,-2.034819,-0.277481,0.861198,-2.019063,-0.324211,0.864462,-1.988570,-0.305321,0.832528,-1.976819,-0.285925,0.804479,-1.974972,-0.346637,0.846800,-1.992150,-0.330653,0.814757,-1.987270,-0.313438,0.784827,-1.989465,-0.366173,0.840049,-2.002329,-0.351367,0.807391,-1.998998,-0.334886,0.779707,-2.006466,-0.388428,0.835437,-2.018825,-0.369858,0.798500,-2.017399,-0.356240,0.777408,-2.023957,0.079386,0.810075,-2.482339,0.050288,0.772667,-2.480017,0.031929,0.735148,-2.493268,0.091753,0.723981,-2.482523,0.077267,0.688125,-2.486910,0.053888,0.664680,-2.495282,0.104289,0.719711,-2.508063,0.090807,0.686907,-2.515009,0.063511,0.669584,-2.527329,0.113296,0.726749,-2.528068,0.098970,0.694967,-2.537098,0.069865,0.686530,-2.550348,0.121596,0.740193,-2.551285,0.102750,0.705573,-2.563835,0.082461,0.693121,-2.574161,-0.191078,1.318790,-2.373858
19,8.728,-0.191110,0.960892,-2.306845,-0.283737,0.898443,-2.323486,-0.103730,0.890385,-2.294597,-0.267292,0.496101,-2.375277,-0.108414,0.582616,-2.029856,-0.249513,0.103132,-2.525248,-0.090125,0.165116,-1.978942,-0.185113,1.060235,-2.316500,-0.189138,1.177443,-2.319646,-0.177618,1.458511,-2.284914,-0.170834,1.554434,-2.235984,-0.241615,1.402479,-2.284038,-0.121789,1.398328,-2.307205,-0.367077,1.374777,-2.270239,-0.005978,1.364569,-2.353539,-0.459592,1.134208,-2.177130,0.052687,1.111075,-2.439566,-0.356872,0.967251,-1.982631,0.101983,0.842023,-2.477473,-0.261434,0.028435,-2.387425,-0.081153,0.138363,-1.824279,,,,,,,,,,-0.309687,0.948575,-1.967409,-0.274662,0.923607,-1.947376,-0.247866,0.894776,-1.928113,-0.293069,0.902547,-1.895504,-0.273158,0.873209,-1.879453,-0.253375,0.845941,-1.873847,-0.315458,0.884506,-1.894543,-0.298804,0.853865,-1.885063,-0.281377,0.824050,-1.882981,-0.335542,0.876115,-1.902099,-0.320171,0.844565,-1.894023,-0.303858,0.816012,-1.897556,-0.358785,0.868765,-1.916041,-0.339512,0.832779,-1.909356,-0.325961,0.810947,-1.912973,0.067841,0.804772,-2.461547,0.037727,0.768115,-2.460593,0.017088,0.732507,-2.475641,0.077247,0.718778,-2.470584,0.060853,0.684134,-2.477350,0.035885,0.662593,-2.486234,0.087826,0.716604,-2.497250,0.072707,0.685047,-2.506285,0.044008,0.669833,-2.518198,0.095653,0.725256,-2.517118,0.079478,0.694982,-2.528013,0.049205,0.688809,-2.539814,0.102769,0.740607,-2.539532,0.081809,0.707884,-2.553714,0.060421,0.696990,-2.563573,-0.189018,1.312016,-2.317621
20,8.762,-0.190046,0.950919,-2.251646,-0.283122,0.889872,-2.270794,-0.103710,0.879173,-2.239186,-0.266102,0.493382,-2.356455,-0.114140,0.550209,-2.001476,-0.249080,0.107594,-2.524118,-0.090189,0.151349,-1.868923,-0.182725,1.050328,-2.259551,-0.186835,1.167543,-2.262303,-0.172995,1.448315,-2.226345,-0.165537,1.544067,-2.177178,-0.237436,1.392815,-2.224628,-0.118082,1.387793,-2.249953,-0.362612,1.365747,-2.207398,-0.003727,1.354250,-2.299918,-0.460105,1.133526,-2.099369,0.048507,1.103355,-2.397000,-0.335088,0.984061,-1.903698,0.093514,0.835183,-2.445099,-0.261021,0.030481,-2.387634,-0.084272,0.151910,-1.711820,,,,,,,,,,-0.287234,0.968986,-1.886680,-0.251307,0.948314,-1.863585,-0.222788,0.924296,-1.840560,-0.268223,0.935936,-1.808505,-0.247500,0.910494,-1.787577,-0.227038,0.885163,-1.777281,-0.290216,0.917941,-1.804018,-0.272840,0.889818,-1.789416,-0.254792,0.861185,-1.782247,-0.310275,0.908070,-1.809592,-0.294195,0.878753,-1.796221,-0.277380,0.850306,-1.794832,-0.333642,0.898103,-1.821561,-0.313517,0.864197,-1.809047,-0.299574,0.842313,-1.809040,0.059527,0.797425,-2.430059,0.028634,0.761410,-2.430123,0.006119,0.727537,-2.446432,0.066216,0.712295,-2.446590,0.048239,0.678850,-2.455135,0.022023,0.658900,-2.464138,0.075044,0.712110,-2.473970,0.058594,0.681738,-2.484599,0.028826,0.668186,-2.495878,0.081822,0.722208,-2.493540,0.064124,0.693337,-2.505790,0.033000,0.688871,-2.516047,0.087895,0.739204,-2.515055,0.065154,0.708203,-2.530319,0.042878,0.698606,-2.539539,-0.186210,1.302103,-2.259632
21,8.795,-0.188481,0.939800,-2.194953,-0.281585,0.879237,-2.215458,-0.102436,0.867674,-2.182686,-0.260481,0.492601,-2.337518,-0.113062,0.522702,-1.968879,-0.247511,0.113772,-2.520694,-0.102520,0.138317,-1.797502,-0.180830,1.039271,-2.201680,-0.183823,1.156535,-2.203677,-0.168198,1.437048,-2.166322,-0.160278,1.532738,-2.117107,-0.232843,1.381794,-2.164341,-0.113734,1.376438,-2.190733,-0.357852,1.355154,-2.145326,-0.000455,1.343283,-2.243336,-0.459329,1.130225,-2.026115,0.047146,1.094172,-2.347161,-0.320883,0.991256,-1.831754,0.089429,0.827112,-2.403260,-0.258752,0.031992,-2.386893,-0.101826,0.143764,-1.640383,,,,,,,,,,-0.272508,0.980250,-1.813161,-0.235853,0.964154,-1.787689,-0.206158,0.944836,-1.761897,-0.252203,0.958970,-1.731307,-0.230640,0.937535,-1.707012,-0.209326,0.914677,-1.693243,-0.273573,0.941061,-1.724219,-0.255275,0.915894,-1.705837,-0.236284,0.889189,-1.694740,-0.293306,0.929864,-1.728231,-0.276267,0.903295,-1.710893,-0.258521,0.875903,-1.705549,-0.316360,0.917580,-1.738540,-0.295126,0.886466,-1.721445,-0.280472,0.865270,-1.718395,0.055534,0.788708,-2.389724,0.024076,0.753218,-2.391232,0.000223,0.721030,-2.408988,0.060055,0.705107,-2.413295,0.041027,0.672781,-2.423674,0.014033,0.654070,-2.433030,0.067632,0.707015,-2.440983,0.050305,0.677786,-2.453291,0.019880,0.665523,-2.464288,0.073685,0.718569,-2.459976,0.054962,0.691026,-2.473676,0.023339,0.687810,-2.482813,0.079061,0.737163,-2.480324,0.055090,0.707781,-2.496857,0.032238,0.699259,-2.505715,-0.182286,1.291072,-2.200277
22,8.828,-0.186336,0.929135,-2.138053,-0.278881,0.867517,-2.157929,-0.099525,0.857955,-2.125647,-0.253343,0.490172,-2.305545,-0.115076,0.519066,-1.902614,-0.246006,0.125464,-2.515704,-0.106494,0.125191,-1.754215,-0.179715,1.028638,-2.145363,-0.181538,1.145933,-2.146985,-0.164051,1.426196,-2.108591,-0.155150,1.521866,-2.059504,-0.228956,1.371249,-2.106549,-0.110000,1.365430,-2.133526,-0.354133,1.345786,-2.087035,0.002457,1.331763,-2.187549,-0.458826,1.124548,-1.963767,0.047664,1.082841,-2.292885,-0.318550,0.987521,-1.769340,0.088571,0.816567,-2.353555,-0.256829,0.032465,-2.389407,-0.104660,0.112119,-1.597554,,,,,,,,,,-0.269926,0.978930,-1.750133,-0.232902,0.965514,-1.723663,-0.203513,0.947994,-1.696284,-0.249065,0.964095,-1.667007,-0.226937,0.944054,-1.642038,-0.205214,0.922073,-1.627504,-0.270037,0.946296,-1.658577,-0.251063,0.922574,-1.638998,-0.231455,0.896903,-1.626608,-0.289530,0.934419,-1.661709,-0.271774,0.909266,-1.643029,-0.253415,0.882594,-1.636292,-0.312327,0.920928,-1.671033,-0.290176,0.891622,-1.652017,-0.274953,0.871072,-1.647625,0.054252,0.777834,-2.342201,0.022148,0.743068,-2.345683,-0.002673,0.712601,-2.365074,0.056867,0.696119,-2.371880,0.037125,0.664950,-2.384270,0.009682,0.647382,-2.394495,0.063977,0.699923,-2.399496,0.046095,0.671875,-2.413627,0.015360,0.660780,-2.424995,0.069890,0.712734,-2.417711,0.050549,0.686526,-2.433072,0.018746,0.684383,-2.441892,0.075226,0.732676,-2.436750,0.050561,0.704871,-2.454907,0.027470,0.697239,-2.463958,-0.179013,1.280442,-2.143122
