model,joint,raw_mae,corr_mae,improvement_pct,split
Model2_JointWise,L_Shoulder,35.67140250070428,-0.7706549098575283,102.16042783807649,known_view
Model2_JointWise,R_Shoulder,33.863425948097024,-0.42979477592969734,101.2692005132276,known_view
Model2_JointWise,L_Elbow,13.47058887369424,-1.92136062707737,114.26337515822682,known_view
Model2_JointWise,R_Elbow,15.741392888642226,0.9143420355091418,94.19147948356678,known_view
Model2_JointWise,L_Hip,20.80741986590148,0.44894454480194257,97.84238244003689,known_view
Model2_JointWise,R_Hip,21.40203967413952,1.1033160129208353,94.84480904755077,known_view
Model2_JointWise,L_Knee,15.75743377580553,1.1583300865277464,92.64899283088668,known_view
Model2_JointWise,R_Knee,13.684526722274075,-0.4891591811831603,103.57454218995359,known_view
Model3_HeightWise,L_Shoulder,35.67140250070428,16.47831988268763,53.8052368914783,known_view
Model3_HeightWise,R_Shoulder,33.863425948097024,15.20812810737335,55.08981244046874,known_view
Model3_HeightWise,L_Elbow,13.47058887369424,5.525851019998948,58.97840048559427,known_view
Model3_HeightWise,R_Elbow,15.741392888642226,8.32468151933286,47.115979010095685,known_view
Model3_HeightWise,L_Hip,20.80741986590148,10.135384318432994,51.28956697296944,known_view
Model3_HeightWise,R_Hip,21.40203967413952,10.178563909981825,52.441150166258346,known_view
Model3_HeightWise,L_Knee,15.75743377580553,7.33143883442455,53.47314201833121,known_view
Model3_HeightWise,R_Knee,13.684526722274075,5.248742538016584,61.64469079172981,known_view
Model4_ViewBin,L_Shoulder,35.67140250070428,32.76031781518458,8.160836080000578,known_view
Model4_ViewBin,R_Shoulder,33.863425948097024,30.900862484902017,8.748563915936243,known_view
Model4_ViewBin,L_Elbow,13.47058887369424,12.288545371397529,8.774995016031111,known_view
Model4_ViewBin,R_Elbow,15.741392888642226,14.442386404662452,8.252169888454006,known_view
Model4_ViewBin,L_Hip,20.80741986590148,19.069938864997134,8.350295289382192,known_view
Model4_ViewBin,R_Hip,21.40203967413952,19.610854015258717,8.369228756477476,known_view
Model4_ViewBin,L_Knee,15.75743377580553,14.385531151195066,8.706383565558298,known_view
Model4_ViewBin,R_Knee,13.684526722274075,12.367758553505125,9.622314278693095,known_view
