lambda,mean_abs_theta_raw,mean_abs_theta_corr,mean_abs_psi_raw,mean_abs_psi_corr,improvement_theta,improvement_psi
0.0,32.693737889096965,32.693737889096965,83.82040869882033,83.82040869882033,0.0,0.0
0.25,32.693737889096965,26.056585271966945,83.82040869882033,65.93201215784991,20.300990482166448,21.34133777043034
0.5,32.693737889096965,19.712892680605478,83.82040869882033,48.66160810507317,39.70437780019173,41.94539389574937
0.75,32.693737889096965,14.219592351451926,83.82040869882033,32.17111541453342,56.506679047567644,61.61899480813891
1.0,32.693737889096965,11.145599634777161,83.82040869882033,21.091523473470524,65.90906897037885,74.83724572465923
1.25,32.693737889096965,14.26093760747399,83.82040869882033,30.781385162635868,56.38021673798923,63.27698034348873
1.5,32.693737889096965,20.322940483101235,83.82040869882033,47.01414862845432,37.83843085779821,43.91085732189231
