model,split,mean_abs_theta_raw,mean_abs_theta_corr,mean_abs_psi_raw,mean_abs_psi_corr,improvement_theta,improvement_psi
M4S,known,32.693737889096965,11.145599634777161,83.82040869882033,21.091523473470524,65.90906897037885,74.83724572465923
M4S,unknown_Y2,35.90467959272437,9.826993471095422,81.500280375469,19.283730024096535,72.63032679147837,76.33906296364006
M4U,known,32.693737889096965,45.74248377479505,83.82040869882033,88.29299711891026,-39.912064903565856,-5.335918172578513
M4U,unknown_Y2,35.90467959272437,45.618689525924076,81.500280375469,91.73707959516805,-27.05499685107377,-12.560446629801108
M2S,known,32.693737889096965,21.529043353563083,83.82040869882033,78.8080019108157,34.149336406276134,5.979935991501756
M2S,unknown_Y2,35.90467959272437,24.496950055290384,81.500280375469,74.50538812322817,31.772263857621553,8.58266035406946
M2U,known,32.693737889096965,48.40064716111471,83.82040869882033,93.79467459786628,-48.042561928215136,-11.89956724606894
M2U,unknown_Y2,35.90467959272437,48.75166673526967,81.500280375469,96.73290480345642,-35.78081544877115,-18.690272423372335
