joint_short,height_bin,azimuth_bin,raw_abs_theta,signed_mean,n_test,bias_signed_theta,abs_bias,n_calib,corr_abs_theta,improvement,r2,n
L_Elbow,0,0,26.09019843342349,-21.84430457720186,71,-20.92510717356112,26.269874004067912,559,47.01530560698461,-80.20294374899999,0.9643271693578198,12
L_Elbow,0,1,42.18244176931557,-42.18244176931557,395,-43.43790011841566,43.43790011841566,427,85.62034188773123,-102.97625812172244,0.4928290159323927,13
L_Elbow,0,2,52.98001216250396,-52.98001216250397,444,-53.762773845070114,53.76277384507011,418,106.74278600757407,-101.47746603033086,0.7404806840588964,12
L_Elbow,0,3,77.70572481834328,-77.70572481834328,85,-68.10791507250987,69.71870131588909,274,145.81363989085315,-87.64851654331683,0.9849540036027556,8
L_Elbow,0,4,65.07541973500105,-58.56189742348429,60,-68.20901765615857,69.79774179560845,310,133.2844373911596,-104.81533263084293,0.8936876531363385,10
L_Elbow,0,5,56.393781431546515,-56.393781431546515,135,-55.97746146115459,56.66356625411574,331,112.3712428927011,-99.26176262732572,0.9181493319698466,8
L_Elbow,0,6,47.22503323392266,-47.22503323392265,99,-45.864822743964794,48.188682840618526,524,93.08985597788745,-97.11972571153046,0.9021903507086492,8
L_Elbow,0,7,27.36158418103856,-27.36158418103856,18,-27.471669576505334,29.46998790890292,431,54.83325375754389,-100.40233560578362,0.6712931196593881,10
L_Elbow,1,0,24.802768431598075,-24.80276843159808,239,-24.26699156070501,25.370378194477233,514,49.069759992303084,-97.83985052970739,0.9479968110333716,14
L_Elbow,1,1,46.33736459404131,-46.33736459404131,56,-41.37462451744666,41.37462451744666,531,87.71198911148798,-89.2899820262268,0.8952782475622392,12
L_Elbow,1,2,51.2033282200098,-51.203328220009794,195,-55.30754376839699,56.36107034238379,589,106.51087198840679,-108.01552494937879,0.625196317169355,12
L_Elbow,1,3,70.04342591311443,-70.04342591311443,77,-72.71917796281012,73.35103897604934,393,142.76260387592455,-103.82013303149225,0.8948365724826497,15
L_Elbow,1,4,70.47045635812121,-70.47045635812121,99,-72.01272331768888,72.30184624724872,453,142.4831796758101,-102.18852983118217,0.7086263439109801,14
L_Elbow,1,5,61.401369760558495,-61.40136976055849,125,-55.25499226399783,55.25499226399783,361,116.65636202455633,-89.98983651255803,0.7168999950290487,10
L_Elbow,1,7,29.420730177243083,-29.42073017724309,52,-29.152241745279426,29.228262881579813,382,58.57297192252251,-99.08741751021758,0.4089780963401842,12
L_Elbow,2,0,28.399619459085716,-18.904924293941445,203,-25.48279496732312,25.85407574222326,556,53.882414426408836,-89.72935360642857,0.9339191526942832,12
L_Elbow,2,1,45.69276080411293,-45.69276080411293,275,-41.3145933585099,41.86151200101526,471,87.00735416262283,-90.41824707337682,0.7900810160730121,12
L_Elbow,2,2,56.032207185290034,-56.03220718529003,144,-52.30441448877908,52.30441448877908,405,108.33662167406911,-93.3470536254556,0.4629637931755588,11
