height_bin,azimuth_bin,joint,metric,r2,rmse,local_mae,n,beta_0_intercept,beta_1_camera_y,beta_2_distance,beta_3_sin_azimuth,beta_4_cos_azimuth,beta_5_elevation,reliability_weight
0,0,L_Shoulder,angle_mae,0.9134229514108357,1.9531289921932349,1.6512882924887615,12,31.707812684335778,15.853906342168159,6.269968674135605,5.561127711058376,66.1373931473989,3.6696190969282085,0.21510722258816176
0,0,R_Shoulder,angle_mae,0.6723999195356261,1.416476890963408,1.1927871664886935,11,35.51878111389752,17.759390556948517,-5.2421316814448815,-15.196361622349452,-27.460359975167997,-3.074693713998844,0.14558672712592233
0,0,L_Elbow,angle_mae,0.9643271693578198,1.0976831009254546,0.8313981625143612,12,-90.2231084811378,-45.111554240569575,5.879429071732513,-41.57123641749343,-70.34495638692484,3.32437002031903,0.22709494954825782
0,0,R_Elbow,angle_mae,0.9346144866964301,0.36655609020871294,0.2673057350241375,11,-13.079069537943598,-6.539534768971789,-1.5833822245760636,-8.616926033766553,-38.4495815462431,-0.9847033676837205,0.20236091690281321
0,0,L_Hip,angle_mae,0.710084591380999,1.8667925069851752,1.6891166741855814,12,30.016249308627604,15.008124654313992,-5.028143601444207,-15.618299151437647,-13.026040557708535,-3.0765594225786757,0.16722190308300638
0,0,R_Hip,angle_mae,0.7170272465781555,1.1632240715668425,1.0016294344311032,12,74.30177373820909,37.15088686910512,-1.4518901383153384,22.003082600042628,71.54403596957668,-0.5251273106351242,0.16885686887244813
0,0,L_Knee,angle_mae,0.7759943005458626,2.1589291533678088,1.8135362022688584,12,30.181280835919285,15.090640417959872,2.0360507874641938,28.63170817273049,35.31034669728683,1.5630497428621437,0.18274335944465037
0,0,R_Knee,angle_mae,0.915755571429884,1.099552551474895,0.7590217662079768,12,-8.777767375373582,-4.388883687686884,-1.2064722678513418,-2.400783742724601,-40.06514855962387,-0.2983783326825594,0.21565654468793602
0,1,L_Shoulder,angle_mae,0.9737584003675277,0.954537604970263,0.7661354733385639,13,27.356715310989117,13.678357655494436,5.226776162320898,18.399823772398744,15.906775905797783,0.49862729585418997,0.2476224110708831
0,1,R_Shoulder,angle_mae,0.6046061148334524,2.0257736600741385,1.763397319587252,11,1.5202234359510085,0.7601117179755121,4.008683117537674,-5.37447760524034,8.039088496045217,2.108181548875003,0.13090814395057068
0,1,L_Elbow,angle_mae,0.4928290159323927,1.7983710411871372,1.5049943372412062,13,67.67217711053655,33.83608855526796,-2.2348858175501505,48.88079400166614,16.986325653520304,-1.4126170594640861,0.125324217100268
0,1,R_Elbow,angle_mae,0.881249312175527,3.169473172114997,2.3261454540467614,11,-11.834388027269629,-5.91719401363495,4.065875483653552,-30.592532972531192,14.132579461380578,-1.8193465861651577,0.1908063927643101
0,1,L_Hip,angle_mae,0.836943663456005,1.3287473010717898,1.120395324166927,13,63.05126353895589,31.52563176947765,-4.600387844442718,31.331705152315518,12.56716531547653,-1.8961282716485819,0.21283103467682785
0,1,R_Hip,angle_mae,0.593565869972956,1.3405728954582037,1.0304448341994374,13,-35.9327755958218,-17.966387797910716,1.5788311449358954,-46.068088967760495,-17.17063251863977,0.6137603787338524,0.15094114905362008
0,1,L_Knee,angle_mae,0.7830991417732983,1.0808517602777805,0.8525828892368612,13,58.07739292097916,29.038696460489295,-3.2038000751440876,32.93662532270613,18.32857374073655,-1.4376796031747308,0.1991386133565107
0,1,R_Knee,angle_mae,0.834274222448022,1.351421038685457,0.9000698435834434,13,40.52837362075594,20.264186810377787,-3.721133837295195,15.070363291516124,0.24761742740215908,-1.1462379385465535,0.21215220775388807
0,2,L_Shoulder,angle_mae,0.8930272945387441,1.8154883086244966,1.5684493427833701,12,-41.93850148411617,-20.96925074205834,8.608026409398772,-28.327393917980107,8.80199953709243,3.1663103263998753,0.2103041320857385
0,2,R_Shoulder,angle_mae,0.18606837648325147,3.580364006963013,2.574459205560622,12,-8.04617869215534,-4.023089346077864,-1.6804614925859687,-65.90459120793224,14.717130140797511,-1.4239560968234535,0.04381831178533473
0,2,L_Elbow,angle_mae,0.7404806840588964,2.0335620561423764,1.7479622259385283,12,15.351265194953966,7.675632597477089,1.78273077821121,12.05792314789323,-17.34467325875566,-0.19461508365882718,0.1743800537112295
0,2,R_Elbow,angle_mae,0.8207807671117024,2.632475316744127,2.161350411402427,12,9.26245424749912,4.631227123749408,-5.27433207671789,-75.47537956337126,28.39353642208314,-6.495100310615783,0.1932903819577537
0,2,L_Hip,angle_mae,0.7799253792005568,0.9448661225985743,0.8751824245915186,12,41.450816724351114,20.725408362175752,-3.702907783525017,4.750041104649774,-9.509732300584723,-2.528980248117241,0.18366911175893236
0,2,R_Hip,angle_mae,0.7733305259083234,1.030538024012606,0.8187262704217001,12,64.25242391986066,32.126211959930686,-2.8828913591070027,36.79401208846278,-4.452228675911893,-1.9915741412088082,0.1821160518397814
0,2,L_Knee,angle_mae,0.8446198208389231,1.2144504258513629,0.9613043255380935,12,-3.133620077738838,-1.5668100388695054,-2.1973714179265413,-24.558536464471683,16.83035375209907,-0.15262094786818914,0.19890437778353404
0,2,R_Knee,angle_mae,0.5540544693797184,1.2920815987433962,1.0822557313465386,12,2.654380831922438,1.3271904159612127,-0.5883701736117921,-6.362641399723241,2.6218227092162123,0.4705668699429577,0.13047747255173153
0,3,L_Shoulder,angle_mae,0.9381628913424647,1.3262910719598267,1.1855680995030013,8,-59.33123250328443,-29.665616251642184,14.464919555013505,5.809319632238072,-35.13194670569361,10.838507194796778,0.148838139498899
0,3,R_Shoulder,angle_mae,0.8685302450694897,1.6751741226690062,1.3751730196604708,8,-92.61895620640176,-46.309478103200426,-4.875896137039835,-102.22297676330281,182.83057952726068,-4.502214624306934,0.13779102431741472
0,3,L_Elbow,angle_mae,0.9849540036027555,0.8796269717468104,0.732408310224133,8,-13.492202616321844,-6.746101308160959,5.605499276392002,46.842630110372475,-19.690914006313978,6.9192322278136,0.15626147947341051
0,3,R_Elbow,angle_mae,0.7152016743256993,2.529494007190772,2.159684406554942,8,-81.12982897895844,-40.564914489478774,-6.083395441008241,-96.67206523873351,174.44488616574375,-5.953508420591046,0.11346567590283911
0,3,L_Hip,angle_mae,0.8860976591598353,0.8800428851521714,0.7443840172707837,8,-63.03139435863858,-31.515697179319154,5.765477055887658,-21.637254408526196,26.787276287204744,4.7703233300596235,0.14057806828722286
0,3,R_Hip,angle_mae,0.9066159127671061,2.440250498073642,2.185557620909427,8,-100.33780445387814,-50.168902226938805,6.622930144541719,-64.18461009974543,59.66560289918079,4.844232804883518,0.14383325853281312
0,3,L_Knee,angle_mae,0.8633758158384853,0.9826584622344873,0.7487731337999968,8,-87.67689976400294,-43.83844988200129,10.207062259714622,-9.217055008711142,32.949436812903606,7.837073013007284,0.13697328182940857
0,3,R_Knee,angle_mae,0.5810803044301863,1.8267877970945248,1.507595899268713,8,-39.00045340679633,-19.500226703398102,4.203201450049216,1.568030497352539,10.352082058818388,5.228036139743644,0.09218752117458438
0,4,L_Shoulder,angle_mae,0.9278357314411202,1.8232877880807528,1.5164294066732644,10,-211.20393401198868,-105.60196700599374,16.439513895297736,61.515395003457485,151.16541492290565,9.87641951319494,0.18313187460929914
0,4,R_Shoulder,angle_mae,0.39856194608073225,3.4068443479472537,2.5336320613078125,11,44.14882439787349,22.074412198936685,4.856204655156874,-17.18449416393816,-76.24589851217425,3.9743105597312045,0.08629585995028922
0,4,L_Elbow,angle_mae,0.8936876531363385,2.751720406199877,2.4308026100003426,10,-294.58351408334846,-147.29175704167338,16.782877769714574,68.51431937506122,252.52915232059135,9.625107435904638,0.17639188671882775
0,4,R_Elbow,angle_mae,0.9164066614650226,2.099400122330122,1.880563952618869,11,190.06724354524457,95.03362177262224,-2.0160688104392577,-83.40353327250209,-196.85492683587552,-0.8454983926096347,0.198418593879705
0,4,L_Hip,angle_mae,0.9181264687509154,2.2814745917008143,1.8520068180337672,11,-195.9537166023399,-97.97685830116994,7.856064090434913,79.67228326664339,187.58906657429984,4.161336600488866,0.1987909632193881
0,4,R_Hip,angle_mae,0.9601299105559111,0.8438837194309339,0.6659947551395834,11,4.329849392807362,2.1649246964037463,-4.902622889989249,29.825903416942033,38.65036399502606,-2.3628331689964104,0.20788546701504104
0,4,L_Knee,angle_mae,0.9352747385775971,0.8851959980824157,0.6400702068555337,11,21.998720550502583,10.999360275251332,-2.4028384854663516,-9.73791254832059,17.88069530117766,-1.8954794772184114,0.20250387336022063
0,4,R_Knee,angle_mae,0.9041751676334557,1.6412903582692777,1.4044968181524071,11,108.79038319412244,54.39519159706127,-9.641264747279681,-26.546789655767945,-23.557507706504673,-6.649598092752051,0.1957702545461302
0,5,L_Shoulder,angle_mae,0.76681882929071,1.0812743588252678,0.9503443555843125,8,72.7768308728713,36.388415436435494,1.4079133515830513,-62.48252373513586,-37.22012750463443,2.078889261143619,0.12165466033413029
0,5,R_Shoulder,angle_mae,0.8941722410229245,1.0428295829432062,0.7514815625427241,9,13.439815027587937,6.719907513793856,-2.019766849915732,50.58113591410833,15.08201175200761,-3.2096254383623224,0.159234968927781
