frame,gt,mp,corr
0,109.97121439963156,122.28328954536083,106.15022565952638
1,109.97121439963156,146.4891558622883,130.35609197645385
2,119.48512347485415,151.30615860637957,135.17309472054512
3,133.44172480326688,160.85601906831164,144.7229551824772
4,152.9366914809977,163.80849803447,147.67543414863556
5,165.34659484637197,165.74885091560753,149.6157870297731
6,170.7261027026361,167.7294012116763,151.59633732584186
7,169.09680503125264,168.3255937007591,152.19252981492465
8,168.56074364403207,166.00983000894516,149.8767661231107
9,168.05662240316994,164.1114417224153,147.97837783658085
10,166.45736375129766,162.52176186550625,146.3886979796718
11,158.89230455424567,158.06428549736762,141.93122161153318
12,145.51812096457365,155.653802579489,139.52073869365455
13,139.32557245433688,155.03940691289506,138.90634302706061
14,137.26208863972693,159.5301958933965,143.39713200756205
15,138.594837302071,157.03473015374306,140.9016662679086
16,142.29114946975366,167.39006427057478,151.25700038474034
17,146.86309358178744,161.3874897643214,145.25442587848696
18,152.07810109207176,171.22843401321487,155.09537012738042
19,157.24410159765557,173.1798022196497,157.04673833381526
20,161.08027111031274,175.32779520071128,159.19473131487683
21,164.86524651799883,172.91424961286768,156.78118572703323
22,166.0237218180159,174.88874742161332,158.75568353577887
23,170.06160891346616,176.1674087595164,160.03434487368196
24,170.82440767531136,171.68587718459082,155.55281329875638
25,167.75073569934932,166.2604418665915,150.12737798075705
26,160.65078131703484,160.3645761694694,144.23151228363494
27,146.93726293297385,153.43837691451364,137.3053130286792
28,129.0850489175041,136.0068518064647,119.87378792063026
29,114.57523604171548,128.597169442475,112.46410555664056
30,106.68689740895971,127.01865915857809,110.88559527274364
31,105.55504029175111,126.02443189085248,109.89136800501804
