folder_name,camera_x,camera_y,camera_z,height_label,azimuth_bin,azimuth_label,joint,n_frames,n_keep,reject_rate,mean_eps_norm,mean_E_norm,mean_E_corr_norm,mean_eps_norm_keep
CapturedFrames_-1.0_0.5_-3.0,-1.0,0.5,-3.0,Y=0.5,4,S,LEFT_ANKLE,67,52,0.22388059701492535,0.15428556284089281,0.2573204423210436,0.2413960607897612,0.1352132207319701
CapturedFrames_-1.0_0.5_-3.0,-1.0,0.5,-3.0,Y=0.5,4,S,LEFT_ELBOW,67,46,0.31343283582089554,0.1253486044497814,0.22507506522578014,0.21710850370989185,0.12266924034635988
CapturedFrames_-1.0_0.5_-3.0,-1.0,0.5,-3.0,Y=0.5,4,S,LEFT_KNEE,67,54,0.19402985074626866,0.10845900209801111,0.20368002346448577,0.1974163008614488,0.08953395187971992
CapturedFrames_-1.0_0.5_-3.0,-1.0,0.5,-3.0,Y=0.5,4,S,LEFT_SHOULDER,67,53,0.20895522388059706,0.11613215386609307,0.2264418547191309,0.2206657437702782,0.09349856511961833
CapturedFrames_-1.0_0.5_-3.0,-1.0,0.5,-3.0,Y=0.5,4,S,LEFT_WRIST,67,44,0.34328358208955223,0.11888881496252703,0.25399076456384545,0.24027909696366326,0.11955661099550362
CapturedFrames_-1.0_0.5_-3.0,-1.0,0.5,-3.0,Y=0.5,4,S,RIGHT_ANKLE,67,50,0.25373134328358204,0.14352666351166252,0.4318954626647542,0.4149490195717459,0.12826095283967706
CapturedFrames_-1.0_0.5_-3.0,-1.0,0.5,-3.0,Y=0.5,4,S,RIGHT_ELBOW,67,54,0.19402985074626866,0.14162253953695797,0.22756298418174337,0.21730043044837807,0.1357777373225009
CapturedFrames_-1.0_0.5_-3.0,-1.0,0.5,-3.0,Y=0.5,4,S,RIGHT_KNEE,67,49,0.26865671641791045,0.13539746334711078,0.2232589559511615,0.21500148825398024,0.1270368022195417
CapturedFrames_-1.0_0.5_-3.0,-1.0,0.5,-3.0,Y=0.5,4,S,RIGHT_SHOULDER,67,55,0.17910447761194026,0.11580232261168594,0.1841189485790088,0.17760493145871628,0.09626690393083377
CapturedFrames_-1.0_0.5_-3.0,-1.0,0.5,-3.0,Y=0.5,4,S,RIGHT_WRIST,67,45,0.32835820895522383,0.1687920129850597,0.27807101532981593,0.26671783225728773,0.17735454076207555
CapturedFrames_-1.0_0.5_-4.0,-1.0,0.5,-4.0,Y=0.5,4,S,LEFT_ANKLE,57,43,0.24561403508771928,0.11428795917541683,0.25524163500343655,0.24971612426817005,0.11456744124075519
CapturedFrames_-1.0_0.5_-4.0,-1.0,0.5,-4.0,Y=0.5,4,S,LEFT_ELBOW,57,44,0.22807017543859653,0.11306482112208371,0.23704044382704445,0.23266918599139186,0.11613747105877827
CapturedFrames_-1.0_0.5_-4.0,-1.0,0.5,-4.0,Y=0.5,4,S,LEFT_KNEE,57,46,0.19298245614035092,0.08350976968345308,0.19816521193066575,0.19331814665525435,0.0830469432274757
CapturedFrames_-1.0_0.5_-4.0,-1.0,0.5,-4.0,Y=0.5,4,S,LEFT_SHOULDER,57,49,0.14035087719298245,0.08811777849937452,0.19220436534781835,0.18665924439379578,0.07072719217550068
CapturedFrames_-1.0_0.5_-4.0,-1.0,0.5,-4.0,Y=0.5,4,S,LEFT_WRIST,57,43,0.24561403508771928,0.11215700522806542,0.2609911413137765,0.255723604210625,0.10156261371301643
CapturedFrames_-1.0_0.5_-4.0,-1.0,0.5,-4.0,Y=0.5,4,S,RIGHT_ANKLE,57,42,0.26315789473684215,0.12479475317415224,0.35232998678266614,0.33761099154855617,0.10196928395735477
CapturedFrames_-1.0_0.5_-4.0,-1.0,0.5,-4.0,Y=0.5,4,S,RIGHT_ELBOW,57,40,0.29824561403508776,0.13143419250194663,0.18483516388309604,0.1762521737644067,0.13812638231433885
CapturedFrames_-1.0_0.5_-4.0,-1.0,0.5,-4.0,Y=0.5,4,S,RIGHT_KNEE,57,47,0.17543859649122806,0.1290393390875133,0.19611755790328234,0.19103552611021568,0.11689935325692431
CapturedFrames_-1.0_0.5_-4.0,-1.0,0.5,-4.0,Y=0.5,4,S,RIGHT_SHOULDER,57,45,0.21052631578947367,0.09155263351487022,0.14355610523565945,0.13736557095790553,0.07272286720634938
CapturedFrames_-1.0_0.5_-4.0,-1.0,0.5,-4.0,Y=0.5,4,S,RIGHT_WRIST,57,42,0.26315789473684215,0.15401379809540097,0.24294293440289147,0.23142109278033293,0.16388878399486112
CapturedFrames_-1.0_0.5_-5.0,-1.0,0.5,-5.0,Y=0.5,4,S,LEFT_ANKLE,50,37,0.26,0.08703099725683741,0.21051726248520647,0.20741085153556293,0.08686282631258566
CapturedFrames_-1.0_0.5_-5.0,-1.0,0.5,-5.0,Y=0.5,4,S,LEFT_ELBOW,50,29,0.42000000000000004,0.10248319361838176,0.23657636837194876,0.2362212458313441,0.10172453208855492
CapturedFrames_-1.0_0.5_-5.0,-1.0,0.5,-5.0,Y=0.5,4,S,LEFT_KNEE,50,40,0.19999999999999996,0.06901195614807684,0.20132714701011378,0.19937905137547937,0.06854095039643068
CapturedFrames_-1.0_0.5_-5.0,-1.0,0.5,-5.0,Y=0.5,4,S,LEFT_SHOULDER,50,30,0.4,0.06833947994422221,0.18911849138545458,0.18878079127506364,0.06496391803640435
CapturedFrames_-1.0_0.5_-5.0,-1.0,0.5,-5.0,Y=0.5,4,S,LEFT_WRIST,50,33,0.33999999999999997,0.11221382562825961,0.2642206612396661,0.2622197735819173,0.11810383197579895
CapturedFrames_-1.0_0.5_-5.0,-1.0,0.5,-5.0,Y=0.5,4,S,RIGHT_ANKLE,50,40,0.19999999999999996,0.08471167762814893,0.31149253508080765,0.3078543405957981,0.08592752413855467
CapturedFrames_-1.0_0.5_-5.0,-1.0,0.5,-5.0,Y=0.5,4,S,RIGHT_ELBOW,50,34,0.31999999999999995,0.12574530948269025,0.16246910967547476,0.16181594951411554,0.12952140630379264
CapturedFrames_-1.0_0.5_-5.0,-1.0,0.5,-5.0,Y=0.5,4,S,RIGHT_KNEE,50,38,0.24,0.11667793593373645,0.17714087207745352,0.17437923589739537,0.11611695100206132
CapturedFrames_-1.0_0.5_-5.0,-1.0,0.5,-5.0,Y=0.5,4,S,RIGHT_SHOULDER,50,34,0.31999999999999995,0.07427035455021888,0.11633931394025793,0.11623167124681891,0.07332097035570638
CapturedFrames_-1.0_0.5_-5.0,-1.0,0.5,-5.0,Y=0.5,4,S,RIGHT_WRIST,50,37,0.26,0.15338429718621546,0.23714465295481013,0.23571818371723874,0.15749388811986942
CapturedFrames_-1.0_0.5_-6.0,-1.0,0.5,-6.0,Y=0.5,4,S,LEFT_ANKLE,28,17,0.3928571428571429,0.07472510020991716,0.18499510744103645,0.18215076838987662,0.06983004643805094
CapturedFrames_-1.0_0.5_-6.0,-1.0,0.5,-6.0,Y=0.5,4,S,LEFT_ELBOW,28,21,0.25,0.0987765877723624,0.20201416150225132,0.20174393228730875,0.09946739701047533
CapturedFrames_-1.0_0.5_-6.0,-1.0,0.5,-6.0,Y=0.5,4,S,LEFT_KNEE,28,19,0.3214285714285714,0.05324426543148496,0.19122781934758817,0.19031070821084503,0.05213553138570773
CapturedFrames_-1.0_0.5_-6.0,-1.0,0.5,-6.0,Y=0.5,4,S,LEFT_SHOULDER,28,12,0.5714285714285714,0.070120374262253,0.15468456510343062,0.1545915725575759,0.07564709233327806
CapturedFrames_-1.0_0.5_-6.0,-1.0,0.5,-6.0,Y=0.5,4,S,LEFT_WRIST,28,13,0.5357142857142857,0.1017347563215919,0.2417775115714551,0.24005957288541008,0.10941246533828657
CapturedFrames_-1.0_0.5_-6.0,-1.0,0.5,-6.0,Y=0.5,4,S,RIGHT_ANKLE,28,23,0.1785714285714286,0.08029736975202371,0.39194010763972026,0.3904651665146672,0.08225688419043813
CapturedFrames_-1.0_0.5_-6.0,-1.0,0.5,-6.0,Y=0.5,4,S,RIGHT_ELBOW,28,17,0.3928571428571429,0.12161006893852434,0.1450197954755156,0.14422795038893588,0.11347461139481772
CapturedFrames_-1.0_0.5_-6.0,-1.0,0.5,-6.0,Y=0.5,4,S,RIGHT_KNEE,28,18,0.3571428571428571,0.10940279075245672,0.19959016013502068,0.1973061251369352,0.11740342833323941
CapturedFrames_-1.0_0.5_-6.0,-1.0,0.5,-6.0,Y=0.5,4,S,RIGHT_SHOULDER,28,20,0.2857142857142857,0.0660460749420199,0.09135580578446445,0.09128862575912426,0.06604854032969362
CapturedFrames_-1.0_0.5_-6.0,-1.0,0.5,-6.0,Y=0.5,4,S,RIGHT_WRIST,28,21,0.25,0.1446278865011225,0.2128359032409898,0.21215812118216584,0.14725603972059217
CapturedFrames_-1.0_0.5_3.0,-1.0,0.5,3.0,Y=0.5,0,N,LEFT_ANKLE,51,37,0.27450980392156865,0.24574247794722648,0.4542535104554382,0.4227990406414128,0.25627315106390286
CapturedFrames_-1.0_0.5_3.0,-1.0,0.5,3.0,Y=0.5,0,N,LEFT_ELBOW,51,35,0.3137254901960784,0.3366249020144921,0.4662788517069687,0.44900345207110615,0.35152897395688226
CapturedFrames_-1.0_0.5_3.0,-1.0,0.5,3.0,Y=0.5,0,N,LEFT_KNEE,51,42,0.17647058823529416,0.20367632143782738,0.3726329190476047,0.3625647920852097,0.19804082101364714
CapturedFrames_-1.0_0.5_3.0,-1.0,0.5,3.0,Y=0.5,0,N,LEFT_SHOULDER,51,37,0.27450980392156865,0.16169945004519024,0.3680134302747747,0.3541575540641334,0.1502921698555186
CapturedFrames_-1.0_0.5_3.0,-1.0,0.5,3.0,Y=0.5,0,N,LEFT_WRIST,51,40,0.21568627450980393,0.31849171481120353,0.5935007384609448,0.5761727706495967,0.3127010206662872
CapturedFrames_-1.0_0.5_3.0,-1.0,0.5,3.0,Y=0.5,0,N,RIGHT_ANKLE,51,42,0.17647058823529416,0.2582850078850177,0.5643592861299647,0.5322950474820739,0.26391658327392736
CapturedFrames_-1.0_0.5_3.0,-1.0,0.5,3.0,Y=0.5,0,N,RIGHT_ELBOW,51,41,0.196078431372549,0.353057133121607,0.4304909464552061,0.4158793009890061,0.36115687530843554
CapturedFrames_-1.0_0.5_3.0,-1.0,0.5,3.0,Y=0.5,0,N,RIGHT_KNEE,51,34,0.33333333333333337,0.24563411441465074,0.34055414862619826,0.32977790644251354,0.24034335017717257
CapturedFrames_-1.0_0.5_3.0,-1.0,0.5,3.0,Y=0.5,0,N,RIGHT_SHOULDER,51,42,0.17647058823529416,0.15788513661708076,0.24902054416394884,0.23952919932921587,0.1448862909167548
CapturedFrames_-1.0_0.5_3.0,-1.0,0.5,3.0,Y=0.5,0,N,RIGHT_WRIST,51,44,0.13725490196078427,0.4135957890702224,0.5795533901578845,0.5596651266679251,0.4087636623142371
CapturedFrames_-1.0_0.5_4.0,-1.0,0.5,4.0,Y=0.5,0,N,LEFT_ANKLE,52,38,0.2692307692307693,0.21548266654571122,0.4789437052431729,0.47860674115723195,0.21684725355472537
