folder_name,camera_x,camera_y,camera_z,L_Elbow,R_Elbow,L_Knee,R_Knee,L_Shoulder,R_Shoulder,L_Hip,R_Hip
CapturedFrames_-1.0_1.5_-3.0,-1.0,1.5,-3.0,31.03311205610352,18.11516827094536,59.24247540542642,70.6354132871219,34.26424101006314,54.77235014123973,45.847883268708784,77.55292816346252
CapturedFrames_-1.0_1.5_-4.0,-1.0,1.5,-4.0,24.27613275104642,17.69240155761088,57.40049870977239,64.74621658892433,35.98938235242568,40.4530460711411,57.097661259130646,38.809411200910276
CapturedFrames_-1.0_1.5_-5.0,-1.0,1.5,-5.0,28.353898366755686,13.350690667008791,56.10545164996576,67.70486312531284,37.90963552037718,41.91849836416654,46.56822098031515,43.803398338051096
CapturedFrames_-1.0_1.5_-6.0,-1.0,1.5,-6.0,29.137806519563355,16.099827152366657,55.23729661881433,65.42197972158563,34.81012798949541,41.16363808435345,31.27888817522036,32.60042842961103
CapturedFrames_-1.0_1.5_3.0,-1.0,1.5,3.0,45.826636143212724,62.16366524008595,60.86127228300809,63.792371765959714,40.8025406219946,49.28869271148159,47.69619826909737,34.0571283203885
CapturedFrames_-1.0_1.5_4.0,-1.0,1.5,4.0,46.39171639580434,64.99276599425359,60.403170654056936,42.93005628466963,38.376846577632016,50.42307490962851,32.720519774062765,33.97198202332788
CapturedFrames_-1.0_1.5_5.0,-1.0,1.5,5.0,48.775624640656645,64.24229493964323,37.18976321008945,36.7034826543977,39.46230126587191,48.616030315613784,29.3185304590544,29.613997034213554
CapturedFrames_-1.0_1.5_6.0,-1.0,1.5,6.0,43.367608092846496,53.51953356813624,50.63426229037276,30.195829996104223,35.08253877286541,48.56745048780246,39.43270774231224,20.67444346825478
CapturedFrames_-2.0_1.5_-3.0,-2.0,1.5,-3.0,42.111904070339904,15.433738942860941,50.10529158718627,65.66878772879551,40.182333820646086,42.513599855919225,45.67548451055336,55.90314112514943
CapturedFrames_-2.0_1.5_-4.0,-2.0,1.5,-4.0,42.21779808213732,17.820067664589175,46.36295078654298,60.432755225505346,39.980890794401056,41.25581460164358,58.46192737583983,44.91112896078391
CapturedFrames_-2.0_1.5_-5.0,-2.0,1.5,-5.0,31.150419951548457,14.30458994913215,42.64162045804022,63.22070885937508,46.22144183305079,38.47324079558008,44.102511811534065,34.432491449170456
CapturedFrames_-2.0_1.5_-6.0,-2.0,1.5,-6.0,38.924929074050354,14.584636148922641,40.883232059597006,52.51706088562028,41.25274924297232,46.83701490420168,37.94907116234252,37.40616890342632
CapturedFrames_-2.0_1.5_3.0,-2.0,1.5,3.0,41.37156130011954,62.52449245257036,49.904820556614496,36.428104899365124,40.48273336259205,54.097315582375685,45.905595187288256,55.30586096006692
CapturedFrames_-2.0_1.5_4.0,-2.0,1.5,4.0,39.63784349613272,66.48508280150851,52.87909519410661,36.38503822150004,36.425235530209946,53.21338291269214,39.80114270530791,51.74730644966945
CapturedFrames_-2.0_1.5_5.0,-2.0,1.5,5.0,38.07077967436928,65.1913792955114,38.76811954493701,35.82088123999699,32.43194702431967,54.673768551671444,32.435200611256164,41.48893353493901
