camera,joint,delta_theta_mean,delta_theta_std,delta_theta_abs_mean,error_3d_mean,count
CapturedFrames_-1.0_0.5_-3.0,LEFT_ELBOW,-14.455547614180812,26.68135402514298,22.28933016421768,0.2594891507988826,67
CapturedFrames_-1.0_0.5_-3.0,RIGHT_ELBOW,13.439059343644802,27.35493143343129,22.516695586292446,0.2806068207300332,67
CapturedFrames_-1.0_0.5_-4.0,LEFT_ELBOW,-16.998582594796744,23.528662367301422,22.287327573599118,0.2657484164539148,57
CapturedFrames_-1.0_0.5_-4.0,RIGHT_ELBOW,17.21193939106176,19.87583440186992,21.44330443541783,0.2603985673741651,57
CapturedFrames_-1.0_0.5_-5.0,LEFT_ELBOW,-21.101693468060493,5.313733392167415,21.101693468060493,0.2581664546527967,50
CapturedFrames_-1.0_0.5_-5.0,RIGHT_ELBOW,19.929924467729744,3.088130441733768,19.929924467729744,0.26205563636612106,50
CapturedFrames_-1.0_0.5_-6.0,LEFT_ELBOW,-19.566000162845224,5.1112697968386644,19.566000162845224,0.26634881880138855,28
CapturedFrames_-1.0_0.5_-6.0,RIGHT_ELBOW,19.600266248224113,1.9052794787056173,19.60026624822411,0.2720315574288123,28
CapturedFrames_-1.0_0.5_3.0,LEFT_ELBOW,-67.6430600201956,39.492743295336986,76.29708807286042,0.33393014204107635,51
CapturedFrames_-1.0_0.5_3.0,RIGHT_ELBOW,66.09919245752054,41.60792235893528,75.5127571014809,0.35004588967549777,51
CapturedFrames_-1.0_0.5_4.0,LEFT_ELBOW,-75.32083587463065,10.880203280922286,75.32083587463063,0.34343778729365937,52
CapturedFrames_-1.0_0.5_4.0,RIGHT_ELBOW,76.130145732517,13.143038405540285,76.13014573251701,0.33849925653074603,52
CapturedFrames_-1.0_0.5_5.0,LEFT_ELBOW,-79.0648071232362,4.551556245263203,79.06480712323619,0.328464217811831,39
CapturedFrames_-1.0_0.5_5.0,RIGHT_ELBOW,80.49175169843603,4.81419967246326,80.49175169843603,0.3478152543708679,39
CapturedFrames_-1.0_0.5_6.0,LEFT_ELBOW,-79.66497984384587,2.2986515996239585,79.66497984384588,0.30476614143046593,14
CapturedFrames_-1.0_0.5_6.0,RIGHT_ELBOW,83.71254237897362,3.522884797360427,83.71254237897361,0.35115885013737735,14
CapturedFrames_-1.0_1.0_-3.0,LEFT_ELBOW,-19.224198622139383,11.355292477752256,21.074047203907174,0.2791019044548485,71
CapturedFrames_-1.0_1.0_-3.0,RIGHT_ELBOW,23.908359270446685,17.49079447410479,23.90835927044668,0.249156112979201,71
CapturedFrames_-1.0_1.0_-4.0,LEFT_ELBOW,-21.537940806592186,5.474102605365862,21.537940806592186,0.26574507843350453,58
CapturedFrames_-1.0_1.0_-4.0,RIGHT_ELBOW,21.97631511589062,6.487546870679499,21.97631511589062,0.25088299311471735,58
CapturedFrames_-1.0_1.0_-5.0,LEFT_ELBOW,-22.288889994814216,4.193001108302797,22.288889994814216,0.2563850671250694,49
CapturedFrames_-1.0_1.0_-5.0,RIGHT_ELBOW,21.940753769359112,3.397978273824983,21.940753769359105,0.2569455819879094,49
CapturedFrames_-1.0_1.0_-6.0,LEFT_ELBOW,-20.581168354131833,4.3491829282247005,20.581168354131833,0.27077181286550017,29
CapturedFrames_-1.0_1.0_-6.0,RIGHT_ELBOW,22.4071221704238,1.4892533144849256,22.4071221704238,0.26937415475300475,29
CapturedFrames_-1.0_1.0_3.0,LEFT_ELBOW,-75.85657068150503,29.634861261849185,80.82299824556526,0.36375154866900017,50
CapturedFrames_-1.0_1.0_3.0,RIGHT_ELBOW,74.4854866724612,29.524452272631617,79.219897125321,0.3667583118363817,50
CapturedFrames_-1.0_1.0_4.0,LEFT_ELBOW,-76.617191995525,12.46286269729226,76.617191995525,0.33684840820520107,57
CapturedFrames_-1.0_1.0_4.0,RIGHT_ELBOW,78.40737757594452,10.84655409979381,78.40737757594452,0.34813069033264,57
CapturedFrames_-1.0_1.0_5.0,LEFT_ELBOW,-79.18008901123832,4.066558139788977,79.18008901123831,0.3334637209070493,36
CapturedFrames_-1.0_1.0_5.0,RIGHT_ELBOW,80.96065822657422,5.664024318150928,80.96065822657424,0.3499290265341506,36
CapturedFrames_-1.0_1.0_6.0,LEFT_ELBOW,-78.9557179207037,2.705573143265299,78.95571792070369,0.2938617800371678,12
CapturedFrames_-1.0_1.0_6.0,RIGHT_ELBOW,83.81543323770025,2.957131887766982,83.81543323770025,0.3656553407682241,12
CapturedFrames_-1.0_1.5_-3.0,LEFT_ELBOW,-20.427427194527198,15.75252160474058,23.129590421108986,0.28033276067282553,75
CapturedFrames_-1.0_1.5_-3.0,RIGHT_ELBOW,19.48999616771153,22.427213982006332,23.604812656311385,0.24505735672653225,75
CapturedFrames_-1.0_1.5_-4.0,LEFT_ELBOW,-22.754261165841335,4.258161378613785,22.75426116584134,0.2742882490052458,64
CapturedFrames_-1.0_1.5_-4.0,RIGHT_ELBOW,23.319859078263796,6.3741518121741265,23.319859078263796,0.24181315087911726,64
CapturedFrames_-1.0_1.5_-5.0,LEFT_ELBOW,-22.929663425136365,3.5838908171542987,22.929663425136365,0.2597509098317769,40
CapturedFrames_-1.0_1.5_-5.0,RIGHT_ELBOW,23.449193394408894,4.215982726864654,23.449193394408894,0.25056368204270085,40
CapturedFrames_-1.0_1.5_-6.0,LEFT_ELBOW,-21.74910641314903,3.6473533068438337,21.749106413149025,0.2728054898512337,30
CapturedFrames_-1.0_1.5_-6.0,RIGHT_ELBOW,22.86157593445523,2.706909458312174,22.861575934455228,0.2668356112954932,30
CapturedFrames_-1.0_1.5_3.0,LEFT_ELBOW,-81.00425110978983,5.8570187428449785,81.00425110978983,0.38783152622022277,76
CapturedFrames_-1.0_1.5_3.0,RIGHT_ELBOW,77.87829772705486,10.38186843418586,77.87829772705486,0.35280626491114947,76
CapturedFrames_-1.0_1.5_4.0,LEFT_ELBOW,-79.39961488363909,4.367364046060145,79.3996148836391,0.34570904929027463,66
CapturedFrames_-1.0_1.5_4.0,RIGHT_ELBOW,77.9470561987819,6.733008758985968,77.9470561987819,0.34354593233634806,66
CapturedFrames_-1.0_1.5_5.0,LEFT_ELBOW,-79.57050014497496,4.119849831640049,79.57050014497494,0.33642055949214145,35
CapturedFrames_-1.0_1.5_5.0,RIGHT_ELBOW,78.76349374587667,6.4413515845391345,78.76349374587669,0.34670258309696567,35
CapturedFrames_-1.0_1.5_6.0,LEFT_ELBOW,-78.08366710093223,3.200487448747382,78.08366710093223,0.30940138944266726,16
CapturedFrames_-1.0_1.5_6.0,RIGHT_ELBOW,82.00017679233163,2.934939952055877,82.00017679233162,0.348065689592985,16
CapturedFrames_-1.0_2.0_-3.0,LEFT_ELBOW,-21.505261488849612,10.066636789585484,22.560368960845782,0.271900433947195,83
CapturedFrames_-1.0_2.0_-3.0,RIGHT_ELBOW,24.148097148454774,11.059436251938523,24.19003714185761,0.23902172636690075,83
CapturedFrames_-1.0_2.0_-4.0,LEFT_ELBOW,-21.34489332825992,3.7804954992708715,21.34489332825992,0.2627660529439936,62
CapturedFrames_-1.0_2.0_-4.0,RIGHT_ELBOW,21.554052532525663,6.743044426079047,21.55405253252567,0.24914772362832477,62
CapturedFrames_-1.0_2.0_-5.0,LEFT_ELBOW,-22.875868657935513,3.376255299650065,22.875868657935513,0.25942788933314737,41
CapturedFrames_-1.0_2.0_-5.0,RIGHT_ELBOW,23.14537168065424,5.3832679713644955,23.14537168065424,0.25395760044052634,41
CapturedFrames_-1.0_2.0_-6.0,LEFT_ELBOW,-23.52979410619167,2.7035615632923515,23.52979410619167,0.2662281206932271,29
