frame,gt,mp,corr
0,91.69869957875139,88.52687192623245,78.14748469988886
1,91.69869957875139,96.40415517105251,86.02476794470893
2,90.72729935946218,88.65160800535394,78.27222077901035
3,90.27651682461958,105.37093606473871,94.99154883839513
4,90.09018772756919,92.05297274057557,81.67358551423199
5,89.58962678754813,89.76176418148806,79.38237695514448
6,89.19816826306975,81.13333519706417,70.75394797072059
7,89.385642082711,86.22927434035641,75.84988711401283
8,89.84293734976217,89.7787269529342,79.39933972659063
9,90.41696719343031,96.32077294760644,85.94138572126286
10,90.45913881161432,102.03803647459767,91.6586492482541
11,91.68106770472636,113.75971799053956,103.38033076419597
12,94.6468199458732,116.42939820587964,106.05001097953605
13,97.2937555275063,107.6391385313647,97.25975130502111
14,98.57711989139912,,
15,99.33776383523629,,
16,100.187702292974,100.2235023951833,89.84411516883972
17,100.3945481974614,100.76539386060793,90.38600663426435
18,100.56522209251332,85.31605500319891,74.93666777685533
19,100.76063179999238,,
20,100.05555299910037,80.28617665805648,69.9067894317129
21,99.0940233938141,,
22,98.78012230190896,59.58132296530002,49.201935738956436
23,99.09963803367314,56.1671036393789,45.78771641303532
24,98.35654328863662,84.691850862407,74.31246363606341
25,96.58210176553722,87.9826582707825,77.60327104443891
26,96.30013629655048,88.29927626612685,77.91988903978327
27,96.2680196977081,,
28,96.14903200082811,,
29,95.58010749360903,,
30,94.45863912576253,,
31,93.04158903459239,,
32,91.69901111131776,,
33,90.72683838352107,,
34,90.27607459994009,,
35,90.09066536854031,,
36,89.58971573611262,,
37,89.1981216449211,,
38,89.38563280961442,,
39,89.8429339613558,,
40,90.4169570481888,,
41,90.45869339987442,,
42,91.68065135072239,,
43,94.64633331041873,,
44,97.29379871747311,,
45,98.5770660875813,,
46,99.33715473066106,,
47,100.1878339693189,,
48,100.39425793937583,,
49,100.56561622792526,,
50,100.76053351179176,,
51,100.05580859925199,,
52,99.09434717795486,,
53,98.77978350789951,,
54,99.10006560005871,,
55,98.35689808863782,,
56,96.58187716573921,,
57,96.3003750532171,,
58,96.2685716673786,,
59,96.14927820745999,,
60,95.57984609590392,,
61,94.45920841545123,,
62,93.04159089123138,,
63,91.69901748035242,,
64,90.72718628423031,,
65,90.27655510925526,,
66,90.09079372186928,,
67,89.58958960195658,,
68,89.19799374015957,,
69,89.38563280961442,,
70,89.8429339613558,,
71,90.4166314563627,,
72,90.45913807866792,,
73,91.68069634514002,,
74,94.64668246427021,,
75,97.29325354241197,,
76,98.57657758803019,,
77,99.33760734591698,,
78,100.18765670425661,,
79,100.3940326172656,,
80,100.56536437874261,,
81,100.76031682683826,,
82,100.05580859925196,,
83,99.09399172084628,,
84,98.77978760748066,,
85,99.10005763105342,,
86,98.35665754597191,,
87,96.58253944998205,,
88,96.30012855934972,,
89,96.26774441059402,,
90,96.14931826170407,,
91,95.58012807690969,,
92,94.45943067266244,,
93,93.04096709039347,,
94,91.6984245822623,,
95,90.72719138840569,,
96,90.27605192270782,,
97,90.09066848115636,,
98,89.58958675188453,,
99,89.19804082018412,,
100,89.38555698360265,,
101,89.84293057294681,,
102,90.41662853372017,,
103,90.45913881161425,,
104,91.68069105202552,,
105,94.64606086719792,,
106,,,
107,,,
108,,,
109,,,
110,,,
111,,,
112,,,
113,,,
114,,,
115,,,
116,,,
117,,,
118,,,
119,,,
120,,,
