camera,joint,theta_mean,theta_std,count
CapturedFrames_-1.0_2.0_-5.0,RIGHT_ELBOW,23.14537168065424,5.3832679713644955,41
CapturedFrames_-1.0_2.0_-6.0,LEFT_ELBOW,-23.52979410619167,2.7035615632923515,29
CapturedFrames_-1.0_2.0_-6.0,RIGHT_ELBOW,24.390040303404543,2.5231752216772363,29
CapturedFrames_-1.0_2.0_3.0,LEFT_ELBOW,-85.5338584441498,9.29437472089143,78
CapturedFrames_-1.0_2.0_3.0,RIGHT_ELBOW,78.47079130232322,10.366688903201018,78
CapturedFrames_-1.0_2.0_4.0,LEFT_ELBOW,-82.05194891270808,6.002499444451418,71
CapturedFrames_-1.0_2.0_4.0,RIGHT_ELBOW,78.89225454289759,7.4033015552576815,71
CapturedFrames_-1.0_2.0_5.0,LEFT_ELBOW,-80.3904699874697,4.811209324500257,40
CapturedFrames_-1.0_2.0_5.0,RIGHT_ELBOW,80.97954873995155,6.763751062947214,40
CapturedFrames_-1.0_2.0_6.0,LEFT_ELBOW,-77.26839417690123,3.477731477434105,13
CapturedFrames_-1.0_2.0_6.0,RIGHT_ELBOW,84.35908144389182,3.093696712317238,13
CapturedFrames_-2.0_0.5_-3.0,LEFT_ELBOW,-27.138777924581678,10.961512025430164,65
CapturedFrames_-2.0_0.5_-3.0,RIGHT_ELBOW,25.999975894167218,10.23362030128804,65
CapturedFrames_-2.0_0.5_-4.0,LEFT_ELBOW,-24.682782760308243,8.407687849058709,51
CapturedFrames_-2.0_0.5_-4.0,RIGHT_ELBOW,24.6812063754399,10.482264217303335,51
CapturedFrames_-2.0_0.5_-5.0,LEFT_ELBOW,-25.883471439237525,6.855789592231578,46
CapturedFrames_-2.0_0.5_-5.0,RIGHT_ELBOW,27.754291014567052,10.565152078854581,46
CapturedFrames_-2.0_0.5_-6.0,LEFT_ELBOW,-24.626210080649482,5.402521052228794,26
CapturedFrames_-2.0_0.5_-6.0,RIGHT_ELBOW,25.7493063525047,8.380253993717476,26
CapturedFrames_-2.0_0.5_3.0,LEFT_ELBOW,-71.20639176231249,13.30106859984893,63
CapturedFrames_-2.0_0.5_3.0,RIGHT_ELBOW,65.66954920703012,24.291596459553794,63
CapturedFrames_-2.0_0.5_4.0,LEFT_ELBOW,-73.60767827321978,8.593628204088805,49
CapturedFrames_-2.0_0.5_4.0,RIGHT_ELBOW,74.85341079453866,11.172266884923403,49
CapturedFrames_-2.0_0.5_5.0,LEFT_ELBOW,-74.75130621905028,7.29159421525609,29
CapturedFrames_-2.0_0.5_5.0,RIGHT_ELBOW,74.58682725811316,11.340955878669023,29
CapturedFrames_-2.0_0.5_6.0,LEFT_ELBOW,-80.03812187576655,4.176933016087198,14
CapturedFrames_-2.0_0.5_6.0,RIGHT_ELBOW,81.79845323819902,4.453270884732467,14
CapturedFrames_-2.0_1.0_-3.0,LEFT_ELBOW,-26.00820065521789,6.589054723588498,68
CapturedFrames_-2.0_1.0_-3.0,RIGHT_ELBOW,26.505368448911195,9.469545126649754,68
CapturedFrames_-2.0_1.0_-4.0,LEFT_ELBOW,-28.79573734625383,10.970421657549812,60
CapturedFrames_-2.0_1.0_-4.0,RIGHT_ELBOW,28.1558904827554,12.134094729693752,60
CapturedFrames_-2.0_1.0_-5.0,LEFT_ELBOW,-26.562889865299784,5.751894981395179,43
