frame_id,camera,joint,gt_x,gt_y,gt_z,mp_x,mp_y,mp_z,theta_gt_deg,theta_mp_deg,delta_theta_deg,psi_gt_deg,psi_mp_deg,delta_psi_deg,error_3d,abs_delta_theta
75,CapturedFrames_-1.0_0.5_3.0,LEFT_ELBOW,-0.2296519999999999,0.1779479999999998,-0.07846,0.0626646876335144,0.0806458592414855,-0.1611124612390995,142.22935064103115,52.15152847108092,-90.07782216995024,-161.1374028994742,-68.74645440417633,92.39094849529788,0.3189799081668,90.07782216995024
11,CapturedFrames_-3.0_0.5_1.0,LEFT_ELBOW,-0.213394,0.1879240000000001,-0.107822,0.0434467792510986,0.0492010563611984,-0.1112151872366667,138.63145655258532,48.55402616941812,-90.0774303831672,-153.19381090415018,-68.66164481147649,84.53216609267369,0.2919293659393464,90.0774303831672
12,CapturedFrames_-3.0_0.5_1.0,LEFT_ELBOW,-0.2222749999999999,0.182644,-0.096753,0.0442638397216796,0.0491004288196564,-0.1241699699312448,140.58995722877734,47.96546694022672,-92.62449028855062,-156.4772243965399,-70.37997668436886,86.09724771217105,0.299380241038031,92.62449028855062
13,CapturedFrames_-3.0_0.5_1.0,LEFT_ELBOW,-0.229577,0.1779400000000001,-0.078675,0.0426639318466186,0.0545549243688584,-0.1207323987036943,142.2215365063904,51.97330151077546,-90.24823499561496,-161.08364434348593,-70.53781441500384,90.54582992848208,0.3018407305963516,90.24823499561496
4,CapturedFrames_-5.0_0.5_0.0,RIGHT_ELBOW,0.26022,0.1881319999999998,0.0901499999999999,-0.0244459211826324,0.0325718969106674,0.0425488743931053,35.86590836790957,126.88902968898238,91.0231213210728,19.10801052734501,119.87898015976914,100.77096963242413,0.3278711629816867,91.0231213210728
81,CapturedFrames_0.0_0.5_3.0,LEFT_ELBOW,-0.2340439999999999,0.1860389999999999,0.0997889999999999,0.0761201679706573,0.0796642713248729,0.0317942602559923,141.5191978253275,46.30325688206383,-95.21594094326367,156.90812512708203,22.669567136522968,-134.23855799055906,0.334874123554646,95.21594094326367
80,CapturedFrames_1.0_0.5_3.0,LEFT_ELBOW,-0.233579,0.179941,0.0713410000000001,0.0615685880184173,0.0766665488481521,0.0140245016664266,142.39061560031817,51.23310523635144,-91.15751036396674,163.01598843799678,12.832261651462868,-150.18372678653392,0.3179039036486142,91.15751036396674
49,CapturedFrames_2.0_0.5_3.0,RIGHT_ELBOW,0.239408,0.184798,-0.032366,-0.0286695659160614,0.0370202660560607,-0.0894795954227447,37.664395162762574,127.7552375572344,90.09084239447184,-7.699240493330866,-107.76563495035964,-100.06639445702876,0.3113933248790008,90.09084239447184
17,CapturedFrames_3.0_0.5_-2.0,LEFT_ELBOW,-0.234017,0.1750259999999999,0.04244,-0.0120818838477135,-0.0879977047443389,0.0686075333505868,143.20644983530195,-97.81770122088444,118.97584894381362,169.72088103495645,99.98746537622172,-69.73341565873471,0.345139688880633,118.97584894381362
27,CapturedFrames_3.0_0.5_2.0,RIGHT_ELBOW,0.2138469999999999,0.178652,-0.1189579999999999,-0.0281705111265183,0.0324380695819855,-0.0830859364941716,39.87604748081117,130.9723491406792,91.09630165986802,-29.086146858504105,-108.72936709181364,-79.64322023330953,0.2850224448711444,91.09630165986802
74,CapturedFrames_-1.0_1.0_3.0,LEFT_ELBOW,-0.222301,0.1826590000000001,-0.09667,0.0606119930744171,0.0718059688806533,-0.1469651525840163,140.5909364271157,49.83202050675683,-90.75891592035887,-156.49766463112908,-67.58756157757155,88.91010305355753,0.307989867580285,90.75891592035887
