frame,gt,mp,corr
0,150.27558470146914,,
1,150.27558470146914,,
2,157.87587456900127,,
3,163.56547342707424,,
4,166.37524776263618,,
5,163.9616617586332,,
6,161.78622563874376,,
7,160.49434877156727,,
8,160.26433150495436,,
9,160.95721639344717,,
10,162.91750009802578,,
11,157.01366413916645,,
12,142.26158754006417,,
13,124.47137296804158,,
14,111.33245282005666,,
15,104.80262217170205,,
16,102.82374373546818,,
17,103.7403151821817,,
18,107.54639343472213,,
19,114.19346996885031,,
20,124.5337241210824,,
21,139.40168314990711,,
22,154.59504744688755,,
23,171.06225140995787,,
24,169.2784548828865,,
25,159.38372160770615,,
26,150.21228217472932,,
27,143.58217105987498,,
28,139.48159318627057,,
29,138.1947669232932,,
30,139.88858787719158,,
31,144.12444733141984,,
32,150.2756359973969,,
33,157.8756183651692,,
34,163.56525070485668,,
35,166.3752418904017,,
36,163.961653726618,,
37,161.7859323034282,,
38,160.49411582270875,,
39,160.2640079443182,,
40,160.95720513278297,,
41,162.91769223732945,,
42,157.01397515561337,,
43,142.26215256395773,,
44,124.47162884682584,,
45,111.3326962576881,,
46,104.8027156996737,,
47,102.82367672354746,,
48,103.74006614026021,,
49,107.54600706798098,,
50,114.19298174542793,,
51,124.53326417124396,,
52,139.40117500227413,,
53,154.59429013150142,,
54,171.06224510032197,,
55,169.27876834977914,,
56,159.38399150211762,,
57,150.21231595948234,,
58,143.5822392084937,,
59,139.48162654056853,,
60,138.19472809840957,,
61,139.88843728404808,,
62,144.12432178637525,,
63,150.27536121172878,,
64,157.8753495097465,,
65,163.56522682543707,,
66,166.3752395325102,,
67,163.96184675165995,,
68,161.78608579637816,,
69,160.49417359294833,,
70,160.26407065959447,,
71,160.95726498338212,,
72,162.91752574028604,,
73,157.01450195688074,,
74,142.2627006944018,,
75,124.47207074399037,,
76,111.3329642205635,,
77,104.80259042687736,123.26089863643851,109.82839545958673
78,102.82376977413112,123.66456922279724,110.23206604594546
79,103.73981933281254,,
80,107.54597709103705,124.27249420050468,110.8399910236529
81,114.19296360198864,128.3171339357619,114.8846307589101
82,124.53283283311858,137.42820021767753,123.99569704082575
83,139.40080392348884,,
84,154.59407085753037,144.5790344483425,131.14653127149072
85,171.06221527057733,141.07099585836227,127.63849268151048
86,169.27913986189043,136.81662763707922,123.38412446022744
87,159.3842340440198,138.22288122922723,124.79037805237544
88,150.2127095693054,129.8931210812129,116.46061790436113
89,143.58250423436652,124.50203677881797,111.06953360196619
90,139.4815666960373,141.65845550851805,128.22595233166626
91,138.19462202530812,155.46324477276818,142.0307415959164
92,139.8881357261802,163.49516413350528,150.0626609566535
93,144.12415315408117,163.96967660386753,150.53717342701574
94,150.27510735163565,167.17569974009268,153.7431965632409
95,157.87524631706938,168.96163932752862,155.52913615067683
96,163.5653908205685,175.26827623056369,161.8357730537119
97,166.37525211093921,169.41961699249086,155.98711381563908
98,163.96171871569575,163.07717001559016,149.64466683873837
99,161.78608389662736,159.59881616804157,146.16631299118978
100,160.49404857685116,154.18427225688598,140.7517690800342
101,160.2641944984571,151.73248360842683,138.29998043157505
102,160.95719262412146,152.72186244394842,139.28935926709664
103,162.91775317648913,143.82518691903397,130.3926837421822
104,157.0145553543227,143.1025857778294,129.67008260097762
105,142.26286438009436,,
106,,,
107,,,
108,,,
109,,,
110,,,
111,,,
112,,,
113,,,
114,,,
115,,,
116,,,
117,,,
118,,,
119,,,
120,,,
