joint,LEFT_ANKLE,LEFT_ELBOW,LEFT_HIP,LEFT_KNEE,LEFT_SHOULDER,LEFT_WRIST,RIGHT_ANKLE,RIGHT_ELBOW,RIGHT_HIP,RIGHT_KNEE,RIGHT_SHOULDER,RIGHT_WRIST
LEFT_ANKLE,1.0,0.36032184355537206,-0.4687492382909458,0.658654468547572,0.3788963338134971,0.34733491144096484,0.30263593339861383,0.5321857264527179,0.5291397512457299,0.44624107035796395,0.5693522078894246,0.5331018429546652
LEFT_ELBOW,0.36032184355537206,1.0,-0.6965487547595035,0.5252624841733223,0.7972640664872173,0.7513714680456576,0.49349965759646797,0.5681183112588957,0.6830130771543296,0.6223212224830195,0.5314652558447401,0.48532597963102797
LEFT_HIP,-0.4687492382909458,-0.6965487547595035,1.0,-0.613661559378107,-0.6463327671581567,-0.6005645078653279,-0.40976561559328367,-0.7194419528609359,-0.8413500345617015,-0.5876368833932654,-0.6809912041419903,-0.6344302034724362
LEFT_KNEE,0.658654468547572,0.5252624841733223,-0.613661559378107,1.0,0.5006226665755799,0.48706206795696416,0.42078016872848445,0.6251779919711956,0.6844822081774248,0.544219156861041,0.6217964640833319,0.5526365317323577
LEFT_SHOULDER,0.3788963338134971,0.7972640664872173,-0.6463327671581567,0.5006226665755799,1.0,0.6916953124646518,0.5047703701935436,0.5339454804145142,0.6516200400220844,0.6201488074888281,0.4915939394022201,0.47184448369484744
LEFT_WRIST,0.34733491144096484,0.7513714680456576,-0.6005645078653279,0.48706206795696416,0.6916953124646518,1.0,0.5083776634367989,0.4942746831312208,0.5941802839292485,0.5559616574088089,0.46484437726105565,0.38153481778438536
RIGHT_ANKLE,0.30263593339861383,0.49349965759646797,-0.40976561559328367,0.42078016872848445,0.5047703701935436,0.5083776634367989,1.0,0.31887624064728043,0.443000663074922,0.6546271405112509,0.3208581919217715,0.30403692800141224
RIGHT_ELBOW,0.5321857264527179,0.5681183112588957,-0.7194419528609359,0.6251779919711956,0.5339454804145142,0.4942746831312208,0.31887624064728043,1.0,0.7436408075166271,0.4933844212631791,0.83030384573541,0.7926105505411679
RIGHT_HIP,0.5291397512457299,0.6830130771543296,-0.8413500345617015,0.6844822081774248,0.6516200400220844,0.5941802839292485,0.443000663074922,0.7436408075166271,1.0,0.6552045207872876,0.7005504077814072,0.6544320840402084
RIGHT_KNEE,0.44624107035796395,0.6223212224830195,-0.5876368833932654,0.544219156861041,0.6201488074888281,0.5559616574088089,0.6546271405112509,0.4933844212631791,0.6552045207872876,1.0,0.46020496616156537,0.4471263560517265
RIGHT_SHOULDER,0.5693522078894246,0.5314652558447401,-0.6809912041419903,0.6217964640833319,0.4915939394022201,0.46484437726105565,0.3208581919217715,0.83030384573541,0.7005504077814072,0.46020496616156537,1.0,0.7627743322756793
RIGHT_WRIST,0.5331018429546652,0.48532597963102797,-0.6344302034724362,0.5526365317323577,0.47184448369484744,0.38153481778438536,0.30403692800141224,0.7926105505411679,0.6544320840402084,0.4471263560517265,0.7627743322756793,1.0
