joint,LEFT_ANKLE,LEFT_ELBOW,LEFT_HIP,LEFT_KNEE,LEFT_SHOULDER,LEFT_WRIST,RIGHT_ANKLE,RIGHT_ELBOW,RIGHT_HIP,RIGHT_KNEE,RIGHT_SHOULDER,RIGHT_WRIST
LEFT_ANKLE,1.0,0.02342717747499302,0.08225356204208138,0.7822167832370458,-0.10333735068275204,-0.08882690164988635,-0.560844616693316,0.0538381898973676,-0.04923229540297521,-0.5512417269528699,0.1587454347163706,-0.005360001874760388
LEFT_ELBOW,0.02342717747499302,1.0,-0.08109097074526331,-0.1492776470473728,0.6275674409939911,-0.26567605547040124,0.08577035268976638,-0.8727883293234465,-0.10497826756897795,0.2107342994594726,-0.4846254468607645,0.17486868126342572
LEFT_HIP,0.08225356204208138,-0.08109097074526331,1.0,0.1948852769697648,-0.08817310513933417,-0.15164597472382585,-0.07694030632735588,0.08883598338701386,-0.1934846386756952,0.04852376893572797,0.06379671939373963,-0.17243007475203737
LEFT_KNEE,0.7822167832370458,-0.1492776470473728,0.1948852769697648,1.0,-0.2059494066118602,-0.12894070046021522,-0.5697890841172495,0.23436992676857818,-0.159173800961166,-0.38806488711011533,0.26442553886555153,-0.19166798163340407
LEFT_SHOULDER,-0.10333735068275204,0.6275674409939911,-0.08817310513933417,-0.2059494066118602,1.0,-0.1821793093830719,0.2343069089573055,-0.516307614280672,-0.09792440669068855,0.32591640462527993,-0.14295110115313256,0.0871145264619157
LEFT_WRIST,-0.08882690164988635,-0.26567605547040124,-0.15164597472382585,-0.12894070046021522,-0.1821793093830719,1.0,0.08194334715205864,0.2184539267230725,0.24118324862866322,-0.1116908556412949,0.09021548925504247,0.2039429153012865
RIGHT_ANKLE,-0.560844616693316,0.08577035268976638,-0.07694030632735588,-0.5697890841172495,0.2343069089573055,0.08194334715205864,1.0,-0.053158395483390505,-0.035156377181322127,0.7429160905813804,-0.17240990152473454,0.05407784090122665
RIGHT_ELBOW,0.0538381898973676,-0.8727883293234465,0.08883598338701386,0.23436992676857818,-0.516307614280672,0.2184539267230725,-0.053158395483390505,1.0,0.008968796530122428,-0.1619226150579561,0.6000249604106387,-0.2051270223066714
RIGHT_HIP,-0.04923229540297521,-0.10497826756897795,-0.1934846386756952,-0.159173800961166,-0.09792440669068855,0.24118324862866322,-0.035156377181322127,0.008968796530122428,1.0,-0.20637013517158123,-0.0274267261774728,0.22416966278213363
RIGHT_KNEE,-0.5512417269528699,0.2107342994594726,0.04852376893572797,-0.38806488711011533,0.32591640462527993,-0.1116908556412949,0.7429160905813804,-0.1619226150579561,-0.20637013517158123,1.0,-0.14492060963753492,-0.08954274715699374
RIGHT_SHOULDER,0.1587454347163706,-0.4846254468607645,0.06379671939373963,0.26442553886555153,-0.14295110115313256,0.09021548925504247,-0.17240990152473454,0.6000249604106387,-0.0274267261774728,-0.14492060963753492,1.0,-0.1630958437155642
RIGHT_WRIST,-0.005360001874760388,0.17486868126342572,-0.17243007475203737,-0.19166798163340407,0.0871145264619157,0.2039429153012865,0.05407784090122665,-0.2051270223066714,0.22416966278213363,-0.08954274715699374,-0.1630958437155642,1.0
