joint,LEFT_ANKLE,LEFT_ELBOW,LEFT_HIP,LEFT_KNEE,LEFT_SHOULDER,LEFT_WRIST,RIGHT_ANKLE,RIGHT_ELBOW,RIGHT_HIP,RIGHT_KNEE,RIGHT_SHOULDER,RIGHT_WRIST
LEFT_ANKLE,1.0,0.33017984666044925,-0.12003318396753883,0.6001933490733631,0.29009639087660893,0.3545047241370072,0.28190549280963445,0.04468455301388918,-0.12003318396753876,0.5300535536862467,0.3669533839933126,-0.01848995107705214
LEFT_ELBOW,0.33017984666044925,1.0,0.18181685639194609,0.028321290643369867,0.41869627368919266,0.9433445551136541,-0.04840620754356374,-0.1890599780143146,0.18181685639194622,0.1716261479850168,-0.023956578386957302,-0.25644337925397315
LEFT_HIP,-0.12003318396753883,0.18181685639194609,1.0,-0.17262391279628922,-0.252754501302513,0.159903576927542,-0.14552088428664364,0.04927514340558662,1.0000000000000002,-0.16803418253984329,-0.29391000379888343,0.02965009409799193
LEFT_KNEE,0.6001933490733631,0.028321290643369867,-0.17262391279628922,1.0,0.41871546314608904,-0.000614202594688545,0.5014435048264487,0.1482616641155273,-0.172623912796289,0.5298627456939209,0.46655495792360174,0.15252290912415123
LEFT_SHOULDER,0.29009639087660893,0.41869627368919266,-0.252754501302513,0.41871546314608904,1.0,0.24734564203793596,0.41066589870674075,0.11706641056863562,-0.2527545013025128,0.46055767015939875,0.5462061991997851,0.07048179869084718
LEFT_WRIST,0.3545047241370072,0.9433445551136541,0.159903576927542,-0.000614202594688545,0.24734564203793596,1.0,-0.15012988876727854,-0.2192406762217485,0.15990357692754223,0.18531935739291727,-0.036331020900268074,-0.2954744222583827
RIGHT_ANKLE,0.28190549280963445,-0.04840620754356374,-0.14552088428664364,0.5014435048264487,0.41066589870674075,-0.15012988876727854,1.0,0.4610587071956608,-0.14552088428664334,0.46858873903282894,0.2980751993719698,0.5091083753991197
RIGHT_ELBOW,0.04468455301388918,-0.1890599780143146,0.04927514340558662,0.1482616641155273,0.11706641056863562,-0.2192406762217485,0.4610587071956608,1.0,0.04927514340558675,0.07081619731946401,0.47657777255717154,0.9552852753672069
RIGHT_HIP,-0.12003318396753876,0.18181685639194622,1.0000000000000002,-0.172623912796289,-0.2527545013025128,0.15990357692754223,-0.14552088428664334,0.04927514340558675,1.0,-0.168034182539843,-0.29391000379888316,0.02965009409799203
RIGHT_KNEE,0.5300535536862467,0.1716261479850168,-0.16803418253984329,0.5298627456939209,0.46055767015939875,0.18531935739291727,0.46858873903282894,0.07081619731946401,-0.168034182539843,1.0,0.3839271132570584,0.050264693951989396
RIGHT_SHOULDER,0.3669533839933126,-0.023956578386957302,-0.29391000379888343,0.46655495792360174,0.5462061991997851,-0.036331020900268074,0.2980751993719698,0.47657777255717154,-0.29391000379888316,0.3839271132570584,1.0,0.31744527214015994
RIGHT_WRIST,-0.01848995107705214,-0.25644337925397315,0.02965009409799193,0.15252290912415123,0.07048179869084718,-0.2954744222583827,0.5091083753991197,0.9552852753672069,0.02965009409799203,0.050264693951989396,0.31744527214015994,1.0
