joint_1,joint_2,correlation
LEFT_ELBOW,RIGHT_ELBOW,-0.8622119936232193
LEFT_ELBOW,LEFT_SHOULDER,0.787574956903319
RIGHT_ANKLE,RIGHT_KNEE,0.7669248777283292
LEFT_ANKLE,LEFT_KNEE,0.7664322389540189
RIGHT_ELBOW,RIGHT_SHOULDER,0.7104651824440996
