folder_name,camera_x,camera_y,camera_z,height_label,azimuth_bin,azimuth_label,joint,n_frames,mean_cos_phi,mean_abs_cos_phi,mean_error_dot_mc,mean_error_norm,median_abs_cos_phi
CapturedFrames_-1.0_0.5_-3.0,-1.0,0.5,-3.0,Y=0.5,4,S,LEFT_ANKLE,67,0.0843177264129521,0.6938085387687296,0.0943117349710627,0.2573204423210436,0.8249414878107632
CapturedFrames_-1.0_0.5_-3.0,-1.0,0.5,-3.0,Y=0.5,4,S,LEFT_ELBOW,67,0.3301436735574691,0.644861090736539,0.3330455401617909,0.22507506522578014,0.7547788915310265
CapturedFrames_-1.0_0.5_-3.0,-1.0,0.5,-3.0,Y=0.5,4,S,LEFT_KNEE,67,0.3660392645961588,0.7265774787291112,0.23071190090577487,0.20368002346448577,0.8164239804576465
CapturedFrames_-1.0_0.5_-3.0,-1.0,0.5,-3.0,Y=0.5,4,S,LEFT_SHOULDER,67,0.6172566082149107,0.7194198093438565,0.39287755741672786,0.2264418547191309,0.8728376039583752
CapturedFrames_-1.0_0.5_-3.0,-1.0,0.5,-3.0,Y=0.5,4,S,LEFT_WRIST,67,0.2435007897274484,0.7673972337449718,0.3629434591760267,0.25399076456384545,0.8652412855298297
CapturedFrames_-1.0_0.5_-3.0,-1.0,0.5,-3.0,Y=0.5,4,S,RIGHT_ANKLE,67,-0.09628351120362774,0.8448782779002021,-0.022638618109636754,0.4318954626647542,0.8771994686395668
CapturedFrames_-1.0_0.5_-3.0,-1.0,0.5,-3.0,Y=0.5,4,S,RIGHT_ELBOW,67,0.06236719060790279,0.5350468064174783,0.037323925024763706,0.22756298418174337,0.5444608564620184
CapturedFrames_-1.0_0.5_-3.0,-1.0,0.5,-3.0,Y=0.5,4,S,RIGHT_KNEE,67,0.13876248557899856,0.6385233353949721,0.07194235573482952,0.2232589559511615,0.7123776596319968
CapturedFrames_-1.0_0.5_-3.0,-1.0,0.5,-3.0,Y=0.5,4,S,RIGHT_SHOULDER,67,-0.06230638273559785,0.5248049997508969,-0.02553560884429268,0.1841189485790088,0.5601816739195403
CapturedFrames_-1.0_0.5_-3.0,-1.0,0.5,-3.0,Y=0.5,4,S,RIGHT_WRIST,67,0.13831633104630203,0.6354809290269794,0.13844352236820492,0.27807101532981593,0.7733141443458008
CapturedFrames_-1.0_0.5_-4.0,-1.0,0.5,-4.0,Y=0.5,4,S,LEFT_ANKLE,57,-0.06491614380659766,0.8272220328988797,0.036129723197860106,0.25524163500343655,0.8954226026417408
CapturedFrames_-1.0_0.5_-4.0,-1.0,0.5,-4.0,Y=0.5,4,S,LEFT_ELBOW,57,0.5183660850135215,0.6410513508836942,0.4386732569193848,0.23704044382704445,0.7180137112615788
CapturedFrames_-1.0_0.5_-4.0,-1.0,0.5,-4.0,Y=0.5,4,S,LEFT_KNEE,57,0.33597694430394764,0.7388498247452951,0.243348280551716,0.19816521193066575,0.8330787666602976
CapturedFrames_-1.0_0.5_-4.0,-1.0,0.5,-4.0,Y=0.5,4,S,LEFT_SHOULDER,57,0.7204207497639282,0.7897060025444866,0.43060598134289346,0.19220436534781835,0.9185785652217572
CapturedFrames_-1.0_0.5_-4.0,-1.0,0.5,-4.0,Y=0.5,4,S,LEFT_WRIST,57,0.41097638876059595,0.7420759864795636,0.4735631285828529,0.2609911413137765,0.9003995101845251
CapturedFrames_-1.0_0.5_-4.0,-1.0,0.5,-4.0,Y=0.5,4,S,RIGHT_ANKLE,57,-0.09221088995016734,0.7558398030436818,-0.02731566833346934,0.35232998678266614,0.8423337800640303
CapturedFrames_-1.0_0.5_-4.0,-1.0,0.5,-4.0,Y=0.5,4,S,RIGHT_ELBOW,57,0.04918242107794339,0.4928534852114473,0.0018480414773023668,0.18483516388309604,0.5266297724213583
CapturedFrames_-1.0_0.5_-4.0,-1.0,0.5,-4.0,Y=0.5,4,S,RIGHT_KNEE,57,0.13673267164316644,0.6477339486010845,0.06855898084012445,0.19611755790328234,0.7105918322782441
CapturedFrames_-1.0_0.5_-4.0,-1.0,0.5,-4.0,Y=0.5,4,S,RIGHT_SHOULDER,57,-0.15857871550443114,0.48457799482195096,-0.050347937681770295,0.14355610523565945,0.5546398176931814
CapturedFrames_-1.0_0.5_-4.0,-1.0,0.5,-4.0,Y=0.5,4,S,RIGHT_WRIST,57,0.11016910421880238,0.5821966196224985,0.06289990235847469,0.24294293440289147,0.6866884330512794
CapturedFrames_-1.0_0.5_-5.0,-1.0,0.5,-5.0,Y=0.5,4,S,LEFT_ANKLE,50,0.16226800878022915,0.7486476177760994,0.3209235796332255,0.21051726248520647,0.8847972602558025
CapturedFrames_-1.0_0.5_-5.0,-1.0,0.5,-5.0,Y=0.5,4,S,LEFT_ELBOW,50,0.6058038798645584,0.6540824964454943,0.5353834290043293,0.23657636837194876,0.7305313265433468
CapturedFrames_-1.0_0.5_-5.0,-1.0,0.5,-5.0,Y=0.5,4,S,LEFT_KNEE,50,0.5362626911236981,0.7806981307185462,0.41260302408529936,0.20132714701011378,0.8557175650408945
