height_label,azimuth_bin,azimuth_label,joint,n,mean_cos_phi,mean_abs_cos_phi,mean_error_norm
Y=0.5,0,N,LEFT_ANKLE,579,0.26827509577238556,0.6958173431977895,0.5063226223533445
Y=0.5,0,N,LEFT_ELBOW,579,-0.12330214507846686,0.5766987087802286,0.43070509117860545
Y=0.5,0,N,LEFT_KNEE,579,-0.28079492892962266,0.5629578951951766,0.3540857362949706
Y=0.5,0,N,LEFT_SHOULDER,579,-0.4121244823653236,0.674368347749099,0.2746736149237068
Y=0.5,0,N,LEFT_WRIST,579,-0.35823411990109383,0.6362391426351525,0.5757888010246827
Y=0.5,0,N,RIGHT_ANKLE,579,0.2759552479509298,0.689050121015986,0.5118680066145693
Y=0.5,0,N,RIGHT_ELBOW,579,-0.30736519758455566,0.567996806870413,0.457064051720625
Y=0.5,0,N,RIGHT_KNEE,579,-0.3404697962779796,0.63915298785011,0.3759211536298271
Y=0.5,0,N,RIGHT_SHOULDER,579,-0.565537453503294,0.7191958831887303,0.29092714456027485
Y=0.5,0,N,RIGHT_WRIST,579,-0.5328813533181582,0.6486009383240573,0.6191243004727877
Y=0.5,1,NE,LEFT_ANKLE,436,0.536027923290812,0.5629393533097106,0.5899841554896127
Y=0.5,1,NE,LEFT_ELBOW,436,0.7917172017997919,0.7922984234818351,0.36690906608375584
Y=0.5,1,NE,LEFT_KNEE,436,0.5497980149518384,0.5736603988046064,0.35848483643529216
Y=0.5,1,NE,LEFT_SHOULDER,436,0.6793791822113969,0.6983248681738388,0.16696630779218583
Y=0.5,1,NE,LEFT_WRIST,436,0.525440047484168,0.6060403677490144,0.44185251314461116
Y=0.5,1,NE,RIGHT_ANKLE,436,-0.333360237330717,0.43911613554283013,0.5354847306001035
Y=0.5,1,NE,RIGHT_ELBOW,436,-0.8018038123251973,0.8018038123251973,0.5700289032280114
Y=0.5,1,NE,RIGHT_KNEE,436,-0.6555936607822908,0.6563519130666967,0.44507821900628464
Y=0.5,1,NE,RIGHT_SHOULDER,436,-0.5517169701423726,0.561136684506377,0.4152914144417061
Y=0.5,1,NE,RIGHT_WRIST,436,-0.759327668867491,0.7631656395550309,0.6824186184763318
Y=0.5,2,E,LEFT_ANKLE,742,0.36198450569920754,0.44935157729470404,0.5610498418091056
Y=0.5,2,E,LEFT_ELBOW,742,0.7156199056315666,0.7257943121305909,0.3212677318265708
Y=0.5,2,E,LEFT_KNEE,742,0.5021306879310202,0.538660933123461,0.341454770108618
Y=0.5,2,E,LEFT_SHOULDER,742,0.3962327421586691,0.4642837875548404,0.17005711470898843
Y=0.5,2,E,LEFT_WRIST,742,0.6506347074239657,0.6709002221613375,0.34688139290153186
Y=0.5,2,E,RIGHT_ANKLE,742,-0.34466722400798366,0.4420670513086139,0.41838188784790037
